,0,IP
"('12382_55',)",129,"('12382_55',)"
"('12983_65',)",129,"('12983_65',)"
"('13361_102',)",129,"('13361_102',)"
"('14269_13',)",129,"('14269_13',)"
"('10002_174',)",130,"('10002_174',)"
"('10166_27',)",130,"('10166_27',)"
"('10045_177',)",130,"('10045_177',)"
"('10067_59',)",130,"('10067_59',)"
"('11520_211',)",130,"('11520_211',)"
"('11842_19',)",130,"('11842_19',)"
"('10572_162',)",130,"('10572_162',)"
"('12243_229',)",130,"('12243_229',)"
"('10491_97',)",130,"('10491_97',)"
"('13172_151',)",130,"('13172_151',)"
"('11342_176',)",131,"('11342_176',)"
"('11517_176',)",131,"('11517_176',)"
"('11782_245',)",131,"('11782_245',)"
"('10682_134',)",131,"('10682_134',)"
"('12483_140',)",131,"('12483_140',)"
"('13972_11',)",131,"('13972_11',)"
"('13972_11', '192.168.220.48')",131,"('13972_11', '192.168.220.48')"
"('10130_233',)",132,"('10130_233',)"
"('10343_68',)",132,"('10343_68',)"
"('10637_110',)",132,"('10637_110',)"
"('10731_186',)",132,"('10731_186',)"
"('10731_186', '192.168.220.47')",132,"('10731_186', '192.168.220.47')"
"('10795_102',)",132,"('10795_102',)"
"('10005_253',)",132,"('10005_253',)"
"('10588_6',)",132,"('10588_6',)"
"('11199_83',)",132,"('11199_83',)"
"('12291_15',)",132,"('12291_15',)"
"('10088_71',)",132,"('10088_71',)"
"('13093_2',)",132,"('13093_2',)"
"('13106_32',)",132,"('13106_32',)"
"('12468_200',)",132,"('12468_200',)"
"('12468_200', '192.168.220.50')",132,"('12468_200', '192.168.220.50')"
"('13398_201',)",132,"('13398_201',)"
"('12088_61',)",132,"('12088_61',)"
"('12088_61', '192.168.220.51')",132,"('12088_61', '192.168.220.51')"
"('10471_189',)",133,"('10471_189',)"
"('11147_18',)",133,"('11147_18',)"
"('10491_67',)",133,"('10491_67',)"
"('10491_70',)",133,"('10491_70',)"
"('11495_118',)",133,"('11495_118',)"
"('10046_139',)",133,"('10046_139',)"
"('12085_175',)",133,"('12085_175',)"
"('10057_27',)",133,"('10057_27',)"
"('10057_27', '192.168.220.43')",133,"('10057_27', '192.168.220.43')"
"('14620_188',)",133,"('14620_188',)"
"('14620_188', '192.168.210.48')",133,"('14620_188', '192.168.210.48')"
"('10278_160',)",134,"('10278_160',)"
"('10642_199',)",134,"('10642_199',)"
"('10272_189',)",134,"('10272_189',)"
"('10088_80',)",134,"('10088_80',)"
"('11115_159',)",134,"('11115_159',)"
"('10124_31',)",134,"('10124_31',)"
"('11236_17',)",134,"('11236_17',)"
"('10361_244',)",134,"('10361_244',)"
"('10392_27',)",134,"('10392_27',)"
"('10123_31',)",134,"('10123_31',)"
"('12688_140',)",134,"('12688_140',)"
"('12688_140', '192.168.220.51')",134,"('12688_140', '192.168.220.51')"
"('10110_37',)",134,"('10110_37',)"
"('12899_131',)",134,"('12899_131',)"
"('11697_152',)",134,"('11697_152',)"
"('10088_242',)",134,"('10088_242',)"
"('10088_242', '192.168.220.48')",134,"('10088_242', '192.168.220.48')"
"('10085_11',)",134,"('10085_11',)"
"('10085_11', '192.168.220.51')",134,"('10085_11', '192.168.220.51')"
"('11930_98',)",134,"('11930_98',)"
"('10446_78',)",135,"('10446_78',)"
"('10650_38',)",135,"('10650_38',)"
"('10650_38', '192.168.220.47')",135,"('10650_38', '192.168.220.47')"
"('10124_43',)",135,"('10124_43',)"
"('11245_56',)",135,"('11245_56',)"
"('10484_68',)",135,"('10484_68',)"
"('13373_139',)",135,"('13373_139',)"
"('10201_35',)",135,"('10201_35',)"
"('10002_18',)",136,"('10002_18',)"
"('10977_161',)",136,"('10977_161',)"
"('11300_217',)",136,"('11300_217',)"
"('11517_175',)",136,"('11517_175',)"
"('11583_220',)",136,"('11583_220',)"
"('10123_77',)",136,"('10123_77',)"
"('10123_77', '192.168.220.42')",136,"('10123_77', '192.168.220.42')"
"('12416_74',)",136,"('12416_74',)"
"('12684_20',)",136,"('12684_20',)"
"('11767_185',)",136,"('11767_185',)"
"('13107_197',)",136,"('13107_197',)"
"('13687_165',)",136,"('13687_165',)"
"('13930_133',)",136,"('13930_133',)"
"('10088_247',)",136,"('10088_247',)"
"('10088_247', '192.168.220.46')",136,"('10088_247', '192.168.220.46')"
"('10853_18',)",137,"('10853_18',)"
"('10949_154',)",137,"('10949_154',)"
"('11855_248',)",137,"('11855_248',)"
"('10116_206',)",137,"('10116_206',)"
"('10510_126',)",137,"('10510_126',)"
"('10510_126', '192.168.220.51')",137,"('10510_126', '192.168.220.51')"
"('14582_235',)",137,"('14582_235',)"
"('14582_235', '192.168.220.43')",137,"('14582_235', '192.168.220.43')"
"('10185_98',)",138,"('10185_98',)"
"('10492_57',)",138,"('10492_57',)"
"('10647_139',)",138,"('10647_139',)"
"('10872_74',)",138,"('10872_74',)"
"('11478_136',)",138,"('11478_136',)"
"('11484_13',)",138,"('11484_13',)"
"('11603_187',)",138,"('11603_187',)"
"('11783_114',)",138,"('11783_114',)"
"('10416_68',)",138,"('10416_68',)"
"('11807_57',)",138,"('11807_57',)"
"('11841_162',)",138,"('11841_162',)"
"('11841_162', '192.168.210.55')",126,"('11841_162', '192.168.210.55')"
"('11852_185',)",138,"('11852_185',)"
"('10718_76',)",138,"('10718_76',)"
"('12404_193',)",138,"('12404_193',)"
"('10124_45',)",138,"('10124_45',)"
"('13227_120',)",138,"('13227_120',)"
"('13227_120', '192.168.220.48')",138,"('13227_120', '192.168.220.48')"
"('13926_197',)",138,"('13926_197',)"
"('13926_197', '192.168.220.47')",138,"('13926_197', '192.168.220.47')"
"('10416_52',)",138,"('10416_52',)"
"('10644_7',)",139,"('10644_7',)"
"('10951_162',)",139,"('10951_162',)"
"('12723_171',)",139,"('12723_171',)"
"('10016_144',)",139,"('10016_144',)"
"('10016_144', '192.168.220.51')",139,"('10016_144', '192.168.220.51')"
"('12109_123',)",139,"('12109_123',)"
"('10024_15',)",140,"('10024_15',)"
"('10183_173',)",140,"('10183_173',)"
"('10295_194',)",140,"('10295_194',)"
"('10491_68',)",140,"('10491_68',)"
"('10574_165',)",140,"('10574_165',)"
"('10488_176',)",140,"('10488_176',)"
"('11459_14',)",140,"('11459_14',)"
"('10661_150',)",140,"('10661_150',)"
"('11673_70',)",140,"('11673_70',)"
"('12469_84',)",140,"('12469_84',)"
"('12469_84', '192.168.220.47')",140,"('12469_84', '192.168.220.47')"
"('12692_131',)",140,"('12692_131',)"
"('12692_131', '192.168.220.51')",140,"('12692_131', '192.168.220.51')"
"('10099_115',)",140,"('10099_115',)"
"('13464_67',)",140,"('13464_67',)"
"('10948_185',)",141,"('10948_185',)"
"('11925_110',)",141,"('11925_110',)"
"('11925_110', '192.168.220.49')",141,"('11925_110', '192.168.220.49')"
"('10124_14',)",141,"('10124_14',)"
"('13185_230',)",141,"('13185_230',)"
"('14143_222',)",141,"('14143_222',)"
"('10724_202',)",142,"('10724_202',)"
"('10834_34',)",142,"('10834_34',)"
"('11268_38',)",142,"('11268_38',)"
"('11359_133',)",142,"('11359_133',)"
"('11631_250',)",142,"('11631_250',)"
"('11641_21',)",142,"('11641_21',)"
"('11934_251',)",142,"('11934_251',)"
"('11587_156',)",142,"('11587_156',)"
"('12539_54',)",142,"('12539_54',)"
"('12918_254',)",142,"('12918_254',)"
"('12969_46',)",142,"('12969_46',)"
"('12969_46', '192.168.220.49')",142,"('12969_46', '192.168.220.49')"
"('13649_250',)",142,"('13649_250',)"
"('13649_250', '192.168.220.51')",142,"('13649_250', '192.168.220.51')"
"('10158_229',)",143,"('10158_229',)"
"('10158_229', '192.168.220.46')",143,"('10158_229', '192.168.220.46')"
"('10420_174',)",143,"('10420_174',)"
"('10727_16',)",143,"('10727_16',)"
"('11438_66',)",143,"('11438_66',)"
"('14026_241',)",143,"('14026_241',)"
"('14026_241', '192.168.210.47')",143,"('14026_241', '192.168.210.47')"
"('10019_89',)",144,"('10019_89',)"
"('11105_181',)",144,"('11105_181',)"
"('10124_35',)",144,"('10124_35',)"
"('10416_60',)",144,"('10416_60',)"
"('10299_116',)",144,"('10299_116',)"
"('10445_44',)",144,"('10445_44',)"
"('12056_21',)",144,"('12056_21',)"
"('12056_21', '192.168.220.43')",144,"('12056_21', '192.168.220.43')"
"('11495_115',)",144,"('11495_115',)"
"('13608_204',)",144,"('13608_204',)"
"('13608_204', '192.168.220.51')",144,"('13608_204', '192.168.220.51')"
"('14131_74',)",144,"('14131_74',)"
"('14131_74', '192.168.220.51')",144,"('14131_74', '192.168.220.51')"
"('10343_100',)",144,"('10343_100',)"
"('10017_62',)",145,"('10017_62',)"
"('11096_106',)",145,"('11096_106',)"
"('11329_217',)",145,"('11329_217',)"
"('11591_221',)",145,"('11591_221',)"
"('10151_28',)",145,"('10151_28',)"
"('11909_113',)",145,"('11909_113',)"
"('10050_18',)",145,"('10050_18',)"
"('12763_44',)",145,"('12763_44',)"
"('10510_136',)",146,"('10510_136',)"
"('11276_127',)",146,"('11276_127',)"
"('10243_48',)",146,"('10243_48',)"
"('11528_65',)",146,"('11528_65',)"
"('11010_153',)",146,"('11010_153',)"
"('10035_16',)",146,"('10035_16',)"
"('10088_142',)",146,"('10088_142',)"
"('10045_69',)",146,"('10045_69',)"
"('11396_48',)",146,"('11396_48',)"
"('11396_48', '192.168.210.47')",142,"('11396_48', '192.168.210.47')"
"('10502_23',)",146,"('10502_23',)"
"('10502_23', '192.168.220.42')",146,"('10502_23', '192.168.220.42')"
"('11005_2',)",147,"('11005_2',)"
"('11102_75',)",147,"('11102_75',)"
"('10124_63',)",147,"('10124_63',)"
"('11850_203',)",147,"('11850_203',)"
"('10563_67',)",148,"('10563_67',)"
"('10694_44',)",148,"('10694_44',)"
"('10753_164',)",148,"('10753_164',)"
"('10151_6',)",148,"('10151_6',)"
"('11304_64',)",148,"('11304_64',)"
"('11715_46',)",148,"('11715_46',)"
"('10391_203',)",148,"('10391_203',)"
"('12265_104',)",148,"('12265_104',)"
"('12849_160',)",148,"('12849_160',)"
"('12987_16',)",148,"('12987_16',)"
"('13079_58',)",148,"('13079_58',)"
"('13647_12',)",148,"('13647_12',)"
"('13647_12', '192.168.220.51')",148,"('13647_12', '192.168.220.51')"
"('11390_12',)",149,"('11390_12',)"
"('11775_241',)",149,"('11775_241',)"
"('10471_240',)",149,"('10471_240',)"
"('12235_143',)",149,"('12235_143',)"
"('12905_110',)",149,"('12905_110',)"
"('10649_142',)",149,"('10649_142',)"
"('11288_117',)",149,"('11288_117',)"
"('11288_117', '192.168.220.51')",149,"('11288_117', '192.168.220.51')"
"('13600_4',)",149,"('13600_4',)"
"('13600_4', '192.168.220.51')",130,"('13600_4', '192.168.220.51')"
"('10790_36',)",150,"('10790_36',)"
"('11199_114',)",150,"('11199_114',)"
"('11724_188',)",150,"('11724_188',)"
"('12399_160',)",150,"('12399_160',)"
"('10297_248',)",150,"('10297_248',)"
"('10297_248', '192.168.220.51')",140,"('10297_248', '192.168.220.51')"
"('14612_94',)",150,"('14612_94',)"
"('14612_94', '192.168.210.48')",150,"('14612_94', '192.168.210.48')"
"('10597_87',)",151,"('10597_87',)"
"('12045_56',)",151,"('12045_56',)"
"('12045_56', '192.168.220.47')",151,"('12045_56', '192.168.220.47')"
"('10628_21',)",152,"('10628_21',)"
"('11434_26',)",152,"('11434_26',)"
"('11540_69',)",152,"('11540_69',)"
"('11759_127',)",152,"('11759_127',)"
"('10718_172',)",152,"('10718_172',)"
"('11809_12',)",152,"('11809_12',)"
"('11870_128',)",152,"('11870_128',)"
"('10599_21',)",152,"('10599_21',)"
"('11996_141',)",152,"('11996_141',)"
"('12290_162',)",152,"('12290_162',)"
"('12533_229',)",152,"('12533_229',)"
"('12717_206',)",152,"('12717_206',)"
"('13547_59',)",152,"('13547_59',)"
"('14080_120',)",152,"('14080_120',)"
"('10676_132',)",153,"('10676_132',)"
"('11058_56',)",153,"('11058_56',)"
"('11451_219',)",153,"('11451_219',)"
"('11708_145',)",153,"('11708_145',)"
"('10124_17',)",153,"('10124_17',)"
"('12097_2',)",153,"('12097_2',)"
"('12097_2', '192.168.220.42')",153,"('12097_2', '192.168.220.42')"
"('10088_42',)",153,"('10088_42',)"
"('12827_191',)",153,"('12827_191',)"
"('13132_237',)",153,"('13132_237',)"
"('13132_237', '192.168.220.51')",130,"('13132_237', '192.168.220.51')"
"('10757_229',)",154,"('10757_229',)"
"('11127_163',)",154,"('11127_163',)"
"('10088_189',)",154,"('10088_189',)"
"('11617_117',)",154,"('11617_117',)"
"('12283_204',)",154,"('12283_204',)"
"('10124_19',)",154,"('10124_19',)"
"('12959_24',)",154,"('12959_24',)"
"('13136_54',)",154,"('13136_54',)"
"('13248_115',)",154,"('13248_115',)"
"('13248_115', '192.168.220.50')",154,"('13248_115', '192.168.220.50')"
"('12056_136',)",154,"('12056_136',)"
"('12056_136', '192.168.220.51')",154,"('12056_136', '192.168.220.51')"
"('11802_44',)",154,"('11802_44',)"
"('11802_44', '192.168.210.54')",154,"('11802_44', '192.168.210.54')"
"('11283_40',)",155,"('11283_40',)"
"('10078_109',)",155,"('10078_109',)"
"('11386_216',)",155,"('11386_216',)"
"('11613_112',)",155,"('11613_112',)"
"('12379_60',)",155,"('12379_60',)"
"('10045_182',)",155,"('10045_182',)"
"('10508_18',)",155,"('10508_18',)"
"('13321_169',)",155,"('13321_169',)"
"('13321_169', '192.168.220.45')",155,"('13321_169', '192.168.220.45')"
"('14130_50',)",155,"('14130_50',)"
"('14130_50', '192.168.220.51')",155,"('14130_50', '192.168.220.51')"
"('10409_5',)",156,"('10409_5',)"
"('10003_90',)",156,"('10003_90',)"
"('10003_90', '192.168.220.47')",156,"('10003_90', '192.168.220.47')"
"('10299_76',)",156,"('10299_76',)"
"('11315_168',)",156,"('11315_168',)"
"('10560_84',)",156,"('10560_84',)"
"('11609_24',)",156,"('11609_24',)"
"('11609_24', '192.168.220.51')",156,"('11609_24', '192.168.220.51')"
"('11729_19',)",156,"('11729_19',)"
"('11875_243',)",156,"('11875_243',)"
"('10668_14',)",156,"('10668_14',)"
"('13057_120',)",156,"('13057_120',)"
"('13057_120', '192.168.210.56')",128,"('13057_120', '192.168.210.56')"
"('10310_51',)",156,"('10310_51',)"
"('12823_18',)",156,"('12823_18',)"
"('12823_18', '192.168.220.47')",156,"('12823_18', '192.168.220.47')"
"('11697_185',)",156,"('11697_185',)"
"('14586_142',)",156,"('14586_142',)"
"('14586_142', '192.168.220.43')",156,"('14586_142', '192.168.220.43')"
"('11252_5',)",157,"('11252_5',)"
"('11596_238',)",157,"('11596_238',)"
"('10441_255',)",158,"('10441_255',)"
"('10619_21',)",158,"('10619_21',)"
"('10675_181',)",158,"('10675_181',)"
"('10789_116',)",158,"('10789_116',)"
"('10789_116', '192.168.210.55')",158,"('10789_116', '192.168.210.55')"
"('11048_81',)",158,"('11048_81',)"
"('11105_179',)",158,"('11105_179',)"
"('10151_18',)",158,"('10151_18',)"
"('10045_89',)",158,"('10045_89',)"
"('10343_180',)",158,"('10343_180',)"
"('10343_180', '192.168.220.43')",130,"('10343_180', '192.168.220.43')"
"('11906_159',)",158,"('11906_159',)"
"('10045_35',)",158,"('10045_35',)"
"('13021_186',)",158,"('13021_186',)"
"('13021_186', '192.168.220.51')",158,"('13021_186', '192.168.220.51')"
"('10200_35',)",159,"('10200_35',)"
"('11269_128',)",159,"('11269_128',)"
"('11829_100',)",159,"('11829_100',)"
"('10078_108',)",159,"('10078_108',)"
"('10189_113',)",159,"('10189_113',)"
"('10189_113', '192.168.220.42')",159,"('10189_113', '192.168.220.42')"
"('10459_241',)",159,"('10459_241',)"
"('10459_241', '192.168.220.51')",159,"('10459_241', '192.168.220.51')"
"('10174_246',)",160,"('10174_246',)"
"('10045_31',)",160,"('10045_31',)"
"('12033_141',)",160,"('12033_141',)"
"('12585_155',)",160,"('12585_155',)"
"('11011_35',)",160,"('11011_35',)"
"('13595_155',)",160,"('13595_155',)"
"('12555_252',)",160,"('12555_252',)"
"('12555_252', '192.168.210.54')",160,"('12555_252', '192.168.210.54')"
"('10299_108',)",161,"('10299_108',)"
"('10367_75',)",161,"('10367_75',)"
"('10045_58',)",161,"('10045_58',)"
"('10371_2',)",161,"('10371_2',)"
"('11699_178',)",161,"('11699_178',)"
"('11947_117',)",161,"('11947_117',)"
"('12227_31',)",161,"('12227_31',)"
"('10078_104',)",161,"('10078_104',)"
"('10133_11',)",162,"('10133_11',)"
"('10088_101',)",162,"('10088_101',)"
"('11421_51',)",162,"('11421_51',)"
"('11725_2',)",162,"('11725_2',)"
"('10694_28',)",162,"('10694_28',)"
"('10694_28', '192.168.220.51')",154,"('10694_28', '192.168.220.51')"
"('10088_204',)",162,"('10088_204',)"
"('12625_144',)",162,"('12625_144',)"
"('13967_220',)",162,"('13967_220',)"
"('13967_220', '192.168.220.48')",162,"('13967_220', '192.168.220.48')"
"('13975_208',)",162,"('13975_208',)"
"('10042_42',)",163,"('10042_42',)"
"('10697_137',)",163,"('10697_137',)"
"('10023_166',)",163,"('10023_166',)"
"('11679_80',)",163,"('11679_80',)"
"('12050_200',)",163,"('12050_200',)"
"('12050_200', '192.168.220.51')",144,"('12050_200', '192.168.220.51')"
"('10018_32',)",164,"('10018_32',)"
"('10124_54',)",164,"('10124_54',)"
"('10938_103',)",164,"('10938_103',)"
"('10938_103', '192.168.210.56')",164,"('10938_103', '192.168.210.56')"
"('10392_99',)",164,"('10392_99',)"
"('11297_166',)",164,"('11297_166',)"
"('11297_166', '192.168.220.50')",164,"('11297_166', '192.168.220.50')"
"('11570_160',)",164,"('11570_160',)"
"('11575_58',)",164,"('11575_58',)"
"('10102_33',)",164,"('10102_33',)"
"('12011_65',)",164,"('12011_65',)"
"('12011_65', '192.168.220.47')",128,"('12011_65', '192.168.220.47')"
"('12357_32',)",164,"('12357_32',)"
"('12357_32', '192.168.220.51')",164,"('12357_32', '192.168.220.51')"
"('12783_18',)",164,"('12783_18',)"
"('12783_18', '192.168.220.51')",152,"('12783_18', '192.168.220.51')"
"('13497_67',)",164,"('13497_67',)"
"('13497_67', '192.168.220.50')",164,"('13497_67', '192.168.220.50')"
"('10184_35',)",165,"('10184_35',)"
"('10437_194',)",165,"('10437_194',)"
"('10495_123',)",165,"('10495_123',)"
"('11522_132',)",165,"('11522_132',)"
"('11576_216',)",165,"('11576_216',)"
"('12468_100',)",165,"('12468_100',)"
"('12468_100', '192.168.220.47')",165,"('12468_100', '192.168.220.47')"
"('10072_35',)",165,"('10072_35',)"
"('10072_35', '192.168.220.51')",149,"('10072_35', '192.168.220.51')"
"('13522_182',)",165,"('13522_182',)"
"('10122_28',)",166,"('10122_28',)"
"('10681_196',)",166,"('10681_196',)"
"('11018_202',)",166,"('11018_202',)"
"('10123_46',)",166,"('10123_46',)"
"('12202_86',)",166,"('12202_86',)"
"('12202_86', '192.168.210.54')",166,"('12202_86', '192.168.210.54')"
"('11107_219',)",167,"('11107_219',)"
"('11251_238',)",167,"('11251_238',)"
"('11512_42',)",167,"('11512_42',)"
"('12691_118',)",167,"('12691_118',)"
"('12691_118', '192.168.220.51')",167,"('12691_118', '192.168.220.51')"
"('12977_86',)",167,"('12977_86',)"
"('11019_191',)",168,"('11019_191',)"
"('10088_13',)",168,"('10088_13',)"
"('11607_36',)",168,"('11607_36',)"
"('11344_35',)",168,"('11344_35',)"
"('13054_173',)",168,"('13054_173',)"
"('11701_221',)",168,"('11701_221',)"
"('11701_221', '192.168.220.51')",129,"('11701_221', '192.168.220.51')"
"('13327_170',)",168,"('13327_170',)"
"('14000_20',)",168,"('14000_20',)"
"('10599_5',)",169,"('10599_5',)"
"('10761_15',)",169,"('10761_15',)"
"('11294_105',)",169,"('11294_105',)"
"('12304_54',)",169,"('12304_54',)"
"('12685_236',)",169,"('12685_236',)"
"('12685_236', '192.168.220.51')",169,"('12685_236', '192.168.220.51')"
"('14330_255',)",169,"('14330_255',)"
"('14330_255', '192.168.220.51')",169,"('14330_255', '192.168.220.51')"
"('10050_14',)",170,"('10050_14',)"
"('10977_43',)",170,"('10977_43',)"
"('11545_166',)",170,"('11545_166',)"
"('11798_251',)",170,"('11798_251',)"
"('12223_158',)",170,"('12223_158',)"
"('12240_91',)",170,"('12240_91',)"
"('13538_15',)",170,"('13538_15',)"
"('13690_173',)",170,"('13690_173',)"
"('13690_173', '192.168.210.45')",170,"('13690_173', '192.168.210.45')"
"('14141_153',)",170,"('14141_153',)"
"('14156_232',)",170,"('14156_232',)"
"('14156_232', '192.168.220.48')",170,"('14156_232', '192.168.220.48')"
"('14405_2',)",170,"('14405_2',)"
"('14405_2', '192.168.220.48')",170,"('14405_2', '192.168.220.48')"
"('11032_75',)",171,"('11032_75',)"
"('11395_6',)",171,"('11395_6',)"
"('11504_177',)",171,"('11504_177',)"
"('10524_152',)",171,"('10524_152',)"
"('11950_150',)",171,"('11950_150',)"
"('12760_236',)",171,"('12760_236',)"
"('13022_2',)",171,"('13022_2',)"
"('13022_2', '192.168.220.51')",171,"('13022_2', '192.168.220.51')"
"('10145_81',)",172,"('10145_81',)"
"('10791_146',)",172,"('10791_146',)"
"('10124_32',)",172,"('10124_32',)"
"('11382_70',)",172,"('11382_70',)"
"('10718_4',)",172,"('10718_4',)"
"('12001_80',)",172,"('12001_80',)"
"('12328_99',)",172,"('12328_99',)"
"('12161_247',)",172,"('12161_247',)"
"('12161_247', '192.168.210.57')",172,"('12161_247', '192.168.210.57')"
"('12703_99',)",172,"('12703_99',)"
"('12703_99', '192.168.210.55')",172,"('12703_99', '192.168.210.55')"
"('11212_159',)",173,"('11212_159',)"
"('11696_127',)",173,"('11696_127',)"
"('11698_111',)",173,"('11698_111',)"
"('11698_111', '192.168.220.45')",149,"('11698_111', '192.168.220.45')"
"('11970_161',)",173,"('11970_161',)"
"('12350_208',)",173,"('12350_208',)"
"('10124_60',)",173,"('10124_60',)"
"('10919_3',)",174,"('10919_3',)"
"('11392_133',)",174,"('11392_133',)"
"('10320_211',)",174,"('10320_211',)"
"('10320_211', '192.168.220.51')",132,"('10320_211', '192.168.220.51')"
"('10196_115',)",175,"('10196_115',)"
"('10732_7',)",175,"('10732_7',)"
"('10000_72',)",175,"('10000_72',)"
"('10144_78',)",175,"('10144_78',)"
"('11615_255',)",175,"('11615_255',)"
"('11615_255', '192.168.220.51')",136,"('11615_255', '192.168.220.51')"
"('12017_226',)",175,"('12017_226',)"
"('10343_156',)",176,"('10343_156',)"
"('10364_31',)",176,"('10364_31',)"
"('10435_181',)",176,"('10435_181',)"
"('10243_80',)",176,"('10243_80',)"
"('11592_241',)",176,"('11592_241',)"
"('11864_69',)",176,"('11864_69',)"
"('10718_20',)",176,"('10718_20',)"
"('10718_244',)",176,"('10718_244',)"
"('11255_131',)",177,"('11255_131',)"
"('11587_157',)",177,"('11587_157',)"
"('11733_33',)",177,"('11733_33',)"
"('11733_33', '192.168.220.49')",177,"('11733_33', '192.168.220.49')"
"('10045_169',)",177,"('10045_169',)"
"('14493_127',)",177,"('14493_127',)"
"('14493_127', '192.168.220.51')",177,"('14493_127', '192.168.220.51')"
"('10164_124',)",178,"('10164_124',)"
"('10268_52',)",178,"('10268_52',)"
"('10872_68',)",178,"('10872_68',)"
"('11307_102',)",178,"('11307_102',)"
"('11315_114',)",178,"('11315_114',)"
"('12046_203',)",178,"('12046_203',)"
"('12046_203', '192.168.220.51')",144,"('12046_203', '192.168.220.51')"
"('12189_104',)",178,"('12189_104',)"
"('12571_92',)",178,"('12571_92',)"
"('12571_92', '192.168.220.47')",136,"('12571_92', '192.168.220.47')"
"('10166_37',)",178,"('10166_37',)"
"('10166_37', '192.168.220.49')",178,"('10166_37', '192.168.220.49')"
"('14260_194',)",178,"('14260_194',)"
"('11330_202',)",179,"('11330_202',)"
"('10151_44',)",179,"('10151_44',)"
"('12023_42',)",179,"('12023_42',)"
"('13109_97',)",179,"('13109_97',)"
"('13109_97', '192.168.220.51')",156,"('13109_97', '192.168.220.51')"
"('10898_135',)",180,"('10898_135',)"
"('11405_78',)",180,"('11405_78',)"
"('11542_131',)",180,"('11542_131',)"
"('11608_121',)",180,"('11608_121',)"
"('10371_28',)",180,"('10371_28',)"
"('12063_100',)",180,"('12063_100',)"
"('10392_131',)",180,"('10392_131',)"
"('12334_193',)",180,"('12334_193',)"
"('10088_191',)",180,"('10088_191',)"
"('10088_191', '192.168.210.53')",180,"('10088_191', '192.168.210.53')"
"('12685_235',)",180,"('12685_235',)"
"('12685_235', '192.168.220.51')",180,"('12685_235', '192.168.220.51')"
"('13199_252',)",180,"('13199_252',)"
"('13199_252', '192.168.210.57')",156,"('13199_252', '192.168.210.57')"
"('11344_16',)",180,"('11344_16',)"
"('10088_187',)",180,"('10088_187',)"
"('10088_187', '192.168.220.47')",180,"('10088_187', '192.168.220.47')"
"('11206_156',)",181,"('11206_156',)"
"('11216_148',)",181,"('11216_148',)"
"('10718_44',)",181,"('10718_44',)"
"('10151_10',)",181,"('10151_10',)"
"('11982_5',)",181,"('11982_5',)"
"('12255_60',)",181,"('12255_60',)"
"('12803_143',)",181,"('12803_143',)"
"('12803_143', '192.168.220.51')",163,"('12803_143', '192.168.220.51')"
"('13051_91',)",181,"('13051_91',)"
"('13051_91', '192.168.210.56')",143,"('13051_91', '192.168.210.56')"
"('10582_152',)",181,"('10582_152',)"
"('10582_152', '192.168.210.45')",144,"('10582_152', '192.168.210.45')"
"('10013_240',)",181,"('10013_240',)"
"('10013_240', '192.168.220.47')",145,"('10013_240', '192.168.220.47')"
"('14574_40',)",181,"('14574_40',)"
"('14574_40', '192.168.220.51')",181,"('14574_40', '192.168.220.51')"
