,IP_A,IP_B,confidence,pairs,pairs2,frequency,avg_norm_latency,total_duration,total_packets,norm_latency,latency_rank,pair_ID,server_A,server_B,server
766,10936_15,192.168.220.51,0.3711340206185567,"['10936_15', '192.168.220.51']","('10936_15', '192.168.220.51')",324,0.041561094789116605,84.26200000000001,1383,4.610272333692368e-05,0.014937282361163273,73,,,7
346,14444_119,192.168.220.50,1.0,"['14444_119', '192.168.220.50']","('14444_119', '192.168.220.50')",339,0.07765617750555957,78.19500000000005,1655,4.278325284625037e-05,0.014503522714878876,74,,,7
631,10555_27,192.168.220.47,0.4906937394247039,"['10555_27', '192.168.220.47']","('10555_27', '192.168.220.47')",290,0.028595790228538632,91.02799999999999,3148,4.980464147437146e-05,0.014443346027567723,75,,,7
183,13613_70,192.168.220.51,1.0,"['13613_70', '192.168.220.51']","('13613_70', '192.168.220.51')",231,0.13033971502283193,111.733,682,6.113307999578093e-05,0.014121741479025394,76,,,7
70,13497_67,192.168.220.50,1.0,"['13497_67', '192.168.220.50']","('13497_67', '192.168.220.50')",164,0.1941518816210889,155.70500000000004,437,8.51917179413698e-05,0.013971441742384646,77,,,7
580,11997_28,192.168.220.51,0.47155963302752296,"['11997_28', '192.168.220.51']","('11997_28', '192.168.220.51')",257,0.06949894955394716,98.42300000000002,1097,5.3850707780375956e-05,0.01383963189955662,78,,,7
819,192.168.200.1,192.168.220.51,1.0,"['192.168.200.1', '192.168.220.51']","('192.168.200.1', '192.168.220.51')",4696,0.00038060760931289044,5.362,4700,2.933740031480201e-06,0.013776843187831025,79,,,7
695,10272_11,192.168.210.50,0.8872832369942196,"['10272_11', '192.168.210.50']","('10272_11', '192.168.210.50')",614,0.00434712969099319,40.52900000000004,2635,2.217485075267833e-05,0.013615358362144494,80,,,8
703,10055_110,192.168.220.47,0.21782178217821782,"['10055_110', '192.168.220.47']","('10055_110', '192.168.220.47')",154,0.12252920359620632,160.89000000000001,1166,8.802861500649937e-05,0.013556406711000904,81,,,8
137,10003_162,192.168.220.42,0.8235294117647058,"['10003_162', '192.168.220.42']","('10003_162', '192.168.220.42')",168,0.001285047349936035,146.88800000000003,17717,8.036762509214172e-05,0.013501761015479808,82,,,8
205,13606_206,192.168.220.42,0.9467213114754098,"['13606_206', '192.168.220.42']","('13606_206', '192.168.220.42')",231,0.021476890951398046,105.04700000000004,3379,5.747493269058203e-05,0.013276709451524447,83,,,8
792,11930_176,192.168.220.51,0.6356807511737089,"['11930_176', '192.168.220.51']","('11930_176', '192.168.220.51')",677,0.015265231764788625,35.802,1080,1.9588541702173474e-05,0.013261442732371441,84,,,8
108,10088_208,192.168.220.51,1.0,"['10088_208', '192.168.220.51']","('10088_208', '192.168.220.51')",187,0.03277526925412031,129.267,1281,7.0726552153926e-05,0.013225865252784162,85,,,8
790,11717_73,192.168.210.54,0.7899239543726235,"['11717_73', '192.168.210.54']","('11717_73', '192.168.210.54')",831,0.008085477909575388,28.97099999999998,1309,1.585105976352347e-05,0.013172230663488004,86,,,8
688,10513_72,192.168.220.51,0.3927007299270073,"['10513_72', '192.168.220.51']","('10513_72', '192.168.220.51')",269,0.017045139925860497,89.47400000000005,2016,4.895439305793728e-05,0.013168731732585127,87,,,8
637,13052_167,192.168.210.56,0.882943143812709,"['13052_167', '192.168.210.56']","('13052_167', '192.168.210.56')",528,0.03095845361172555,45.547000000000004,840,2.492037620548839e-05,0.013157958636497871,88,,,8
281,10054_151,192.168.210.57,1.0,"['10054_151', '192.168.210.57']","('10054_151', '192.168.210.57')",295,0.03929048358109043,80.486,2656,4.403674005477723e-05,0.012990838316159282,89,,,8
149,11953_211,192.168.210.47,0.9339622641509434,"['11953_211', '192.168.210.47']","('11953_211', '192.168.210.47')",198,0.03872226545883999,119.53200000000005,1130,6.540018900464222e-05,0.01294923742291916,90,,,9
420,11774_182,192.168.220.51,0.8692307692307693,"['11774_182', '192.168.220.51']","('11774_182', '192.168.220.51')",339,0.016952178778889077,68.84200000000001,3473,3.766589542095488e-05,0.012768738547703704,91,,,9
527,11085_125,192.168.220.47,0.5101626016260162,"['11085_125', '192.168.220.47']","('11085_125', '192.168.220.47')",251,0.04914547963428912,92.71700000000003,1030,5.072875317022565e-05,0.012732917045726638,92,,,9
654,11657_2,192.168.220.51,0.6629032258064517,"['11657_2', '192.168.220.51']","('11657_2', '192.168.220.51')",411,0.016844853878361085,56.22800000000004,2045,3.076432944611505e-05,0.012644139402353285,93,,,9
411,14040_136,192.168.220.50,1.0,"['14040_136', '192.168.220.50']","('14040_136', '192.168.220.50')",378,0.052316358024691346,60.84699999999999,526,3.329154787308388e-05,0.012584205096025706,94,,,9
212,11927_84,192.168.220.49,1.0,"['11927_84', '192.168.220.49']","('11927_84', '192.168.220.49')",250,0.049876619058719006,91.9769999999999,1713,5.0323872971923576e-05,0.012580968242980894,95,,,9
300,12236_45,192.168.220.51,1.0,"['12236_45', '192.168.220.51']","('12236_45', '192.168.220.51')",308,0.020172202338640914,74.08200000000002,2416,4.0532884933255564e-05,0.012484128559442713,96,,,9
750,10606_75,192.168.220.51,0.5978260869565217,"['10606_75', '192.168.220.51']","('10606_75', '192.168.220.51')",495,0.02267069417114868,45.742000000000026,1241,2.5027067609095012e-05,0.012388398466502032,97,,,9
381,12571_133,192.168.220.51,0.8722222222222222,"['12571_133', '192.168.220.51']","('12571_133', '192.168.220.51')",314,0.056611032986829166,71.69899999999996,613,3.9229061267642455e-05,0.01231792523803973,98,,,9
772,10288_80,192.168.220.51,0.8120805369127517,"['10288_80', '192.168.220.51']","('10288_80', '192.168.220.51')",726,0.008561238998672158,30.42900000000001,2313,1.664878318125906e-05,0.012087016589594077,99,,,9
502,10045_178,192.168.220.51,0.6333333333333333,"['10045_178', '192.168.220.51']","('10045_178', '192.168.220.51')",304,0.016662306623424914,72.603,1895,3.972367167205466e-05,0.012075996188304615,100,,,10
184,12048_246,192.168.210.45,0.8362068965517241,"['12048_246', '192.168.210.45']","('12048_246', '192.168.210.45')",194,0.0779443747314474,113.49099999999991,2245,6.20949440344497e-05,0.012046419142683241,101,,,10
755,10345_183,192.168.220.47,0.32419547079856975,"['10345_183', '192.168.220.47']","('10345_183', '192.168.220.47')",272,0.052453608564638016,79.948,1046,4.3742381207903605e-05,0.01189792768854978,102,,,10
635,11221_206,192.168.220.47,0.4468802698145025,"['11221_206', '192.168.220.47']","('11221_206', '192.168.220.47')",265,0.04663705412450416,80.933,747,4.4281309579967766e-05,0.011734547038691458,103,,,10
237,10003_235,192.168.210.54,0.8075471698113208,"['10003_235', '192.168.210.54']","('10003_235', '192.168.210.54')",214,0.02025213959471302,100.16699999999994,90681,5.4804911923401185e-05,0.011728251151607853,104,,,10
244,13607_234,192.168.220.45,1.0,"['13607_234', '192.168.220.45']","('13607_234', '192.168.220.45')",268,0.021900254358023744,79.89700000000002,1831,4.371447730234496e-05,0.011715479917028449,105,,,10
431,10045_202,192.168.220.49,0.7920792079207921,"['10045_202', '192.168.220.49']","('10045_202', '192.168.220.49')",320,0.07636060004205251,66.12500000000001,895,3.617932853070279e-05,0.011577385129824893,106,,,10
34,13608_204,192.168.220.51,1.0,"['13608_204', '192.168.220.51']","('13608_204', '192.168.220.51')",144,0.11048895321012332,146.41499999999994,6306,8.010883004647025e-05,0.011535671526691715,107,,,10
358,11857_10,192.168.210.49,0.8328530259365994,"['11857_10', '192.168.210.49']","('11857_10', '192.168.210.49')",289,0.05557493546438181,72.93100000000005,930,3.990313208427503e-05,0.011532005172355484,108,,,10
298,12817_196,192.168.210.57,1.0,"['12817_196', '192.168.210.57']","('12817_196', '192.168.210.57')",306,0.022176610767121716,67.88900000000002,3689,3.714447538179028e-05,0.011366209466827825,109,,,10
797,10120_206,192.168.220.51,0.2710526315789474,"['10120_206', '192.168.220.51']","('10120_206', '192.168.220.51')",309,0.048261476888490015,64.30900000000003,1030,3.518573063865355e-05,0.010872390767343948,110,,,11
704,10931_219,192.168.220.51,0.3644067796610169,"['10931_219', '192.168.220.51']","('10931_219', '192.168.220.51')",258,0.04622719050042473,75.90999999999995,1165,4.15330484501421e-05,0.010715526500136663,111,,,11
250,14494_70,192.168.220.49,1.0,"['14494_70', '192.168.220.49']","('14494_70', '192.168.220.49')",272,0.05730615076872499,71.11599999999997,4489,3.8910081327628854e-05,0.010583542121115048,112,,,11
626,10543_116,192.168.210.54,0.5540308747855918,"['10543_116', '192.168.210.54']","('10543_116', '192.168.210.54')",323,0.04795864293085656,57.631999999999984,476,3.1532507552082606e-05,0.010184999939322682,113,,,11
140,12712_50,192.168.220.51,1.0,"['12712_50', '192.168.220.51']","('12712_50', '192.168.220.51')",204,0.033375868817176524,90.87799999999991,2635,4.972257116390479e-05,0.010143404517436578,114,,,11
691,12188_23,192.168.220.47,0.46734397677793904,"['12188_23', '192.168.220.47']","('12188_23', '192.168.220.47')",322,0.04000888558002562,57.35900000000004,6037,3.138313958703338e-05,0.010105370947024747,115,,,11
433,13289_14,192.168.220.51,0.782716049382716,"['13289_14', '192.168.220.51']","('13289_14', '192.168.220.51')",317,0.029927704462915063,57.969999999999985,736,3.1717439318334066e-05,0.010054428263911898,116,,,11
309,11612_109,192.168.210.46,0.7515923566878981,"['11612_109', '192.168.210.46']","('11612_109', '192.168.210.46')",236,0.03367723282302045,75.963,899,4.1562046626506997e-05,0.00980864300385565,117,,,11
517,10863_249,192.168.220.51,0.9301848049281314,"['10863_249', '192.168.220.51']","('10863_249', '192.168.220.51')",453,0.022486289813938822,39.466999999999985,1008,2.159379295457461e-05,0.009781988208422299,118,,,11
265,13114_82,192.168.210.45,0.8098591549295775,"['13114_82', '192.168.210.45']","('13114_82', '192.168.210.45')",230,0.07118934452250451,77.67600000000003,1799,4.249928957203585e-05,0.009774836601568245,119,,,11
645,11132_11,192.168.220.51,0.3464696223316913,"['11132_11', '192.168.220.51']","('11132_11', '192.168.220.51')",211,0.06701433141634561,82.88600000000004,1134,4.534986502224321e-05,0.009568821519693318,120,,,12
537,10022_166,192.168.210.47,0.45454545454545453,"['10022_166', '192.168.210.47']","('10022_166', '192.168.210.47')",230,0.04370731758598458,75.10100000000003,724,4.109041590902549e-05,0.009450795659075863,121,,,12
289,11084_93,192.168.220.49,1.0,"['11084_93', '192.168.220.49']","('11084_93', '192.168.220.49')",302,0.09203962472406181,57.178000000000004,429,3.1284108079070305e-05,0.009447800639879232,122,,,12
113,12943_248,192.168.210.47,1.0,"['12943_248', '192.168.210.47']","('12943_248', '192.168.210.47')",190,0.05988923986490997,90.597,936,4.9568826115630694e-05,0.009418076961969831,123,,,12
666,10569_153,192.168.220.47,0.396875,"['10569_153', '192.168.220.47']","('10569_153', '192.168.220.47')",254,0.05954985236220471,67.149,769,3.673959518348826e-05,0.009331857176606017,124,,,12
642,12558_245,192.168.220.51,0.43471074380165287,"['12558_245', '192.168.220.51']","('12558_245', '192.168.220.51')",263,0.04114391217147871,63.81199999999998,927,3.491380434330745e-05,0.00918233054228986,125,,,12
693,10424_115,192.168.220.47,0.43768115942028984,"['10424_115', '192.168.220.47']","('10424_115', '192.168.220.47')",302,0.034580221742018094,55.18099999999997,816,3.0191478679057983e-05,0.009117826561075511,126,,,12
774,10398_200,192.168.220.51,0.25527192008879024,"['10398_200', '192.168.220.51']","('10398_200', '192.168.220.51')",230,0.030584813954161776,72.41399999999994,2201,3.9620263080866686e-05,0.009112660508599338,127,,,12
751,10254_87,192.168.220.51,0.4645006016847172,"['10254_87', '192.168.220.51']","('10254_87', '192.168.220.51')",386,0.01853150210468863,42.95799999999997,1653,2.3503842646834466e-05,0.009072483261678104,128,,,12
176,13236_133,192.168.210.48,1.0,"['13236_133', '192.168.210.48']","('13236_133', '192.168.210.48')",226,0.03732111111586179,73.28999999999998,2656,4.0099553693991776e-05,0.00906249913484214,129,,,12
316,12986_243,192.168.220.51,1.0,"['12986_243', '192.168.220.51']","('12986_243', '192.168.220.51')",317,0.010587410117292055,51.742000000000004,2118,2.8309880027759902e-05,0.008974231968799888,130,,,13
466,11860_211,192.168.220.47,0.8248847926267281,"['11860_211', '192.168.220.47']","('11860_211', '192.168.220.47')",358,0.005402189626069517,45.77500000000001,5172,2.504512307739766e-05,0.008966154061708363,131,,,13
409,12002_76,192.168.220.47,1.0,"['12002_76', '192.168.220.47']","('12002_76', '192.168.220.47')",378,0.021703784824816563,42.83300000000001,631,2.3435450721445638e-05,0.008858600372706452,132,,,13
545,11662_84,192.168.220.51,1.0,"['11662_84', '192.168.220.51']","('11662_84', '192.168.220.51')",512,0.017978190597380057,31.422,852,1.7192088636548097e-05,0.008802349381912626,133,,,13
