,0
"('13085_24',)",128
"('13085_24', '192.168.220.49')",128
"('13220_162',)",128
"('14154_89',)",128
"('14154_89', '192.168.210.54')",128
"('14155_88',)",128
"('14155_88', '192.168.210.54')",128
"('11380_21',)",129
"('11513_244',)",129
"('11513_244', '192.168.220.47')",129
"('11708_145',)",129
"('12959_24',)",129
"('10002_174',)",130
"('10166_27',)",130
"('10792_213',)",130
"('10045_177',)",130
"('11842_19',)",130
"('12234_212',)",130
"('12582_50',)",130
"('10491_97',)",130
"('10124_45',)",130
"('11342_176',)",131
"('11517_176',)",131
"('11576_216',)",131
"('11677_180',)",131
"('11724_188',)",131
"('11782_245',)",131
"('10124_60',)",131
"('13972_11',)",131
"('13972_11', '192.168.220.48')",131
"('10130_233',)",132
"('10280_193',)",132
"('10343_68',)",132
"('10637_110',)",132
"('10731_186',)",132
"('10731_186', '192.168.220.47')",132
"('11542_131',)",132
"('11517_175',)",132
"('11919_97',)",132
"('12224_23',)",132
"('12242_51',)",132
"('12534_144',)",132
"('12918_254',)",132
"('12468_200',)",132
"('12468_200', '192.168.220.50')",132
"('13398_201',)",132
"('12088_61',)",132
"('12088_61', '192.168.220.51')",132
"('10960_178',)",133
"('11283_40',)",133
"('10045_219',)",133
"('10243_80',)",134
"('10272_189',)",134
"('10088_80',)",134
"('11105_179',)",134
"('11492_181',)",134
"('12688_140',)",134
"('12688_140', '192.168.220.51')",134
"('12717_206',)",134
"('10088_214',)",134
"('10088_242',)",134
"('10088_242', '192.168.220.48')",134
"('10085_11',)",134
"('10085_11', '192.168.220.51')",134
"('10650_38',)",135
"('10650_38', '192.168.220.47')",135
"('11428_237',)",135
"('12143_212',)",135
"('12235_143',)",135
"('13373_139',)",135
"('10241_44',)",136
"('10409_5',)",136
"('10145_81',)",136
"('10002_18',)",136
"('10310_35',)",136
"('10977_161',)",136
"('11701_80',)",136
"('11829_100',)",136
"('10445_44',)",136
"('10123_77',)",136
"('10123_77', '192.168.220.42')",136
"('12265_104',)",136
"('12282_5',)",136
"('12684_20',)",136
"('10088_12',)",136
"('11767_185',)",136
"('13874_6',)",136
"('11102_75',)",137
"('11875_243',)",137
"('11924_64',)",137
"('10116_206',)",137
"('12905_110',)",137
"('10510_126',)",137
"('10510_126', '192.168.220.51')",137
"('13946_223',)",137
"('10185_98',)",138
"('10362_21',)",138
"('10000_72',)",138
"('11019_191',)",138
"('11255_131',)",138
"('11478_136',)",138
"('11509_29',)",138
"('10474_184',)",138
"('10361_195',)",138
"('11841_162',)",138
"('11841_162', '192.168.210.55')",126
"('10718_76',)",138
"('12047_144',)",138
"('12290_162',)",138
"('12484_252',)",138
"('13227_120',)",138
"('13227_120', '192.168.220.48')",138
"('13926_197',)",138
"('13926_197', '192.168.220.47')",138
"('11294_105',)",139
"('10151_10',)",139
"('12448_183',)",139
"('10016_144',)",139
"('10016_144', '192.168.220.51')",139
"('10174_246',)",140
"('10295_194',)",140
"('10922_201',)",140
"('10977_43',)",140
"('10050_10',)",140
"('11459_14',)",140
"('11459_14', '192.168.220.50')",122
"('11512_42',)",140
"('10560_84',)",140
"('10371_14',)",140
"('11715_46',)",140
"('10102_33',)",140
"('12209_140',)",140
"('12469_84',)",140
"('12469_84', '192.168.220.47')",140
"('12692_131',)",140
"('12692_131', '192.168.220.51')",140
"('11458_245',)",141
"('11925_110',)",141
"('11925_110', '192.168.220.49')",141
"('12028_4',)",141
"('10441_255',)",142
"('11186_145',)",142
"('11268_38',)",142
"('11789_178',)",142
"('11906_159',)",142
"('11587_156',)",142
"('12280_176',)",142
"('12539_54',)",142
"('12969_46',)",142
"('12969_46', '192.168.220.49')",142
"('10078_118',)",142
"('13649_250',)",142
"('13649_250', '192.168.220.51')",142
"('10078_105',)",143
"('10158_229',)",143
"('10158_229', '192.168.220.46')",143
"('10359_7',)",143
"('10590_139',)",143
"('11405_78',)",143
"('11438_66',)",143
"('10000_74',)",143
"('14026_241',)",143
"('14026_241', '192.168.210.47')",143
"('10761_15',)",144
"('11251_238',)",144
"('10416_60',)",144
"('10124_23',)",144
"('12056_21',)",144
"('12056_21', '192.168.220.43')",144
"('12212_18',)",144
"('11495_115',)",144
"('13608_204',)",144
"('13608_204', '192.168.220.51')",144
"('14131_74',)",144
"('14131_74', '192.168.220.51')",144
"('10078_117',)",145
"('10200_35',)",145
"('10756_139',)",145
"('10023_166',)",145
"('11140_210',)",145
"('11370_213',)",145
"('11424_123',)",145
"('11451_219',)",145
"('10524_152',)",145
"('10697_223',)",145
"('10144_46',)",145
"('12763_44',)",145
"('10510_136',)",146
"('10660_100',)",146
"('10697_131',)",146
"('10898_135',)",146
"('11276_127',)",146
"('11010_153',)",146
"('11982_5',)",146
"('10035_16',)",146
"('12111_212',)",146
"('12223_158',)",146
"('10088_142',)",146
"('10088_142', '192.168.220.43')",122
"('11396_48',)",146
"('11396_48', '192.168.210.47')",142
"('10502_23',)",146
"('10502_23', '192.168.220.42')",146
"('10003_113',)",146
"('10003_113', '192.168.220.51')",146
"('10589_189',)",147
"('10042_42',)",147
"('10801_79',)",147
"('10649_195',)",147
"('10124_32',)",147
"('11638_78',)",147
"('11864_69',)",147
"('12206_125',)",147
"('11850_203',)",147
"('10416_100',)",148
"('10151_6',)",148
"('10026_74',)",148
"('11377_31',)",148
"('11388_166',)",148
"('10243_112',)",148
"('11545_166',)",148
"('12283_204',)",148
"('13647_12',)",148
"('13647_12', '192.168.220.51')",148
"('13790_135',)",148
"('10219_47',)",149
"('11296_226',)",149
"('11390_12',)",149
"('11775_241',)",149
"('10471_240',)",149
"('10649_142',)",149
"('11288_117',)",149
"('11288_117', '192.168.220.51')",149
"('13886_112',)",149
"('10045_18',)",150
"('11482_57',)",150
"('11813_39',)",150
"('10502_129',)",150
"('10502_129', '192.168.210.47')",130
"('12399_160',)",150
"('10144_88',)",150
"('10078_104',)",150
"('10167_138',)",151
"('10597_87',)",151
"('10124_54',)",151
"('11128_172',)",151
"('11252_5',)",151
"('12045_56',)",151
"('12045_56', '192.168.220.47')",151
"('10966_23',)",151
"('12498_201',)",151
"('10122_28',)",152
"('10628_21',)",152
"('10697_211',)",152
"('10782_101',)",152
"('11136_166',)",152
"('11212_159',)",152
"('11434_26',)",152
"('10694_132',)",152
"('10599_21',)",152
"('10088_204',)",152
"('12328_99',)",152
"('12533_229',)",152
"('13547_59',)",152
"('10676_132',)",153
"('10852_57',)",153
"('11951_153',)",153
"('11951_153', '192.168.210.47')",136
"('12097_2',)",153
"('12097_2', '192.168.220.42')",153
"('12827_191',)",153
"('12977_86',)",153
"('13132_237',)",153
"('13132_237', '192.168.220.51')",130
"('10746_207',)",154
"('10851_61',)",154
"('10145_219',)",154
"('10088_189',)",154
"('10248_37',)",154
"('11823_52',)",154
"('10362_5',)",154
"('10067_144',)",154
"('10067_144', '192.168.210.53')",154
"('13248_115',)",154
"('13248_115', '192.168.220.50')",154
"('10088_51',)",154
"('12056_136',)",154
"('12056_136', '192.168.220.51')",154
"('11802_44',)",154
"('11802_44', '192.168.210.54')",154
"('10495_123',)",155
"('10919_3',)",155
"('11017_159',)",155
"('11330_202',)",155
"('10050_40',)",155
"('11913_93',)",155
"('11613_112',)",155
"('10204_66',)",155
"('13321_169',)",155
"('13321_169', '192.168.220.45')",155
"('14130_50',)",155
"('14130_50', '192.168.220.51')",155
"('10133_11',)",156
"('10697_222',)",156
"('10003_90',)",156
"('10003_90', '192.168.220.47')",156
"('11092_30',)",156
"('10872_68',)",156
"('11609_24',)",156
"('11609_24', '192.168.220.51')",156
"('11344_35',)",156
"('11729_19',)",156
"('11984_90',)",156
"('12181_174',)",156
"('10045_54',)",156
"('10288_243',)",156
"('13199_252',)",156
"('13199_252', '192.168.210.57')",156
"('12823_18',)",156
"('12823_18', '192.168.220.47')",156
"('10586_52',)",156
"('10164_124',)",157
"('11972_99',)",157
"('12274_122',)",157
"('12546_253',)",157
"('12546_253', '192.168.220.51')",138
"('12855_64',)",157
"('13825_9',)",157
"('13825_9', '192.168.220.43')",121
"('10435_181',)",158
"('10536_13',)",158
"('10675_181',)",158
"('10789_116',)",158
"('10789_116', '192.168.210.55')",158
"('11048_81',)",158
"('11592_241',)",158
"('11602_5',)",158
"('11950_150',)",158
"('12033_141',)",158
"('10045_35',)",158
"('13021_186',)",158
"('13021_186', '192.168.220.51')",158
"('10012_40',)",159
"('11014_136',)",159
"('11014_136', '192.168.220.45')",150
"('10151_14',)",159
"('11269_128',)",159
"('11777_119',)",159
"('10371_4',)",159
"('10189_113',)",159
"('10189_113', '192.168.220.42')",159
"('10459_241',)",159
"('10459_241', '192.168.220.51')",159
"('10868_52',)",160
"('10977_189',)",160
"('10088_47',)",160
"('11130_164',)",160
"('10343_4',)",160
"('10045_31',)",160
"('12008_221',)",160
"('12411_151',)",160
"('11011_35',)",160
"('13226_64',)",160
"('13595_155',)",160
"('10045_58',)",161
"('10774_199',)",161
"('11699_178',)",161
"('11947_117',)",161
"('12536_253',)",161
"('10216_66',)",162
"('10268_52',)",162
"('10088_101',)",162
"('10790_34',)",162
"('10145_216',)",162
"('11353_53',)",162
"('11421_51',)",162
"('11725_2',)",162
"('10088_94',)",162
"('10009_8',)",162
"('10694_28',)",162
"('10694_28', '192.168.220.51')",154
"('11930_178',)",162
"('10045_206',)",162
"('13967_220',)",162
"('13967_220', '192.168.220.48')",162
"('10110_2',)",163
"('12050_200',)",163
"('12050_200', '192.168.220.51')",144
"('13830_158',)",163
"('10269_244',)",164
"('10088_193',)",164
"('10088_193', '192.168.220.47')",138
"('10938_103',)",164
"('10938_103', '192.168.210.56')",164
"('10088_216',)",164
"('10088_216', '192.168.220.51')",124
"('10392_99',)",164
"('11297_166',)",164
"('11297_166', '192.168.220.50')",164
"('10774_167',)",164
"('12237_249',)",164
"('12357_32',)",164
"('12357_32', '192.168.220.51')",164
"('13497_67',)",164
"('13497_67', '192.168.220.50')",164
"('13808_168',)",164
"('10494_38',)",165
"('10144_74',)",165
"('10774_71',)",165
"('11405_13',)",165
"('12428_211',)",165
"('12468_100',)",165
"('12468_100', '192.168.220.47')",165
"('10072_35',)",165
"('10072_35', '192.168.220.51')",149
"('13232_85',)",165
"('13232_85', '192.168.220.50')",117
"('10681_196',)",166
"('10708_108',)",166
"('10933_20',)",166
"('12063_100',)",166
"('12202_86',)",166
"('12202_86', '192.168.210.54')",166
"('10045_169',)",166
"('10124_53',)",167
"('10124_53', '192.168.220.51')",137
"('12691_118',)",167
"('12691_118', '192.168.220.51')",167
"('12736_94',)",167
"('12736_94', '192.168.220.51')",167
"('10471_133',)",167
"('10471_133', '192.168.210.47')",167
"('14149_117',)",167
"('14149_117', '192.168.210.57')",167
"('10697_138',)",168
"('13054_173',)",168
"('14183_97',)",168
"('14183_97', '192.168.220.51')",168
"('10144_76',)",169
"('10918_200',)",169
"('10718_44',)",169
"('11957_186',)",169
"('12685_236',)",169
"('12685_236', '192.168.220.51')",169
"('10453_194',)",170
"('10050_14',)",170
"('11660_195',)",170
"('12030_172',)",170
"('13538_15',)",170
"('13690_173',)",170
"('13690_173', '192.168.210.45')",170
"('14156_232',)",170
"('14156_232', '192.168.220.48')",170
"('11032_75',)",171
"('11395_6',)",171
"('10371_40',)",171
"('12760_236',)",171
"('13022_2',)",171
"('13022_2', '192.168.220.51')",171
"('10164_35',)",172
"('10307_67',)",172
"('10611_18',)",172
"('10431_88',)",172
"('10431_88', '192.168.220.47')",156
"('10045_22',)",172
"('12161_247',)",172
"('12161_247', '192.168.210.57')",172
"('12703_99',)",172
"('12703_99', '192.168.210.55')",172
"('13581_21',)",172
"('10245_171',)",173
"('10581_94',)",173
"('10723_197',)",173
"('10774_39',)",173
"('11553_216',)",173
"('11698_111',)",173
"('11698_111', '192.168.220.45')",149
"('10302_64',)",173
"('10302_64', '192.168.220.51')",123
"('12350_208',)",173
"('13288_73',)",173
"('10755_12',)",174
"('11315_114',)",174
"('10185_18',)",174
"('11413_77',)",174
"('10697_231',)",174
"('10123_76',)",174
"('12679_37',)",174
"('10320_211',)",174
"('10320_211', '192.168.220.51')",132
"('10371_0',)",175
"('10707_159',)",175
"('10728_3',)",175
"('10732_7',)",175
"('10144_79',)",175
"('11992_210',)",175
"('10028_200',)",175
"('12394_37',)",175
"('10478_58',)",176
"('10572_137',)",176
"('10885_19',)",176
"('11075_5',)",176
"('10697_210',)",176
"('11630_147',)",176
"('11882_153',)",176
"('10045_179',)",176
"('12260_87',)",176
"('10796_194',)",176
"('10231_32',)",177
"('10145_217',)",177
"('11587_157',)",177
"('11733_33',)",177
"('11733_33', '192.168.220.49')",177
"('11749_164',)",177
"('11749_164', '192.168.220.47')",125
"('10586_18',)",177
"('10205_145',)",178
"('10778_102',)",178
"('11289_19',)",178
"('10697_134',)",178
"('11669_14',)",178
"('11670_144',)",178
"('11670_144', '192.168.220.42')",163
"('11976_33',)",178
"('10078_107',)",178
"('12046_203',)",178
"('12046_203', '192.168.220.51')",144
"('10166_37',)",178
"('10166_37', '192.168.220.49')",178
"('10828_243',)",179
"('10371_8',)",179
"('10790_142',)",179
"('11098_174',)",180
"('11248_42',)",180
"('11488_34',)",180
"('11488_34', '192.168.220.51')",130
"('10392_131',)",180
"('10088_191',)",180
"('10088_191', '192.168.210.53')",180
"('12685_235',)",180
"('12685_235', '192.168.220.51')",180
"('14069_212',)",180
"('14069_212', '192.168.220.50')",180
"('11206_156',)",181
"('11206_156', '192.168.220.42')",123
"('11897_147',)",181
"('13048_204',)",181
"('10582_152',)",181
"('10582_152', '192.168.210.45')",144
"('10013_240',)",181
"('10013_240', '192.168.220.47')",145
"('13953_236',)",181
"('13953_236', '192.168.220.51')",165
"('10145_83',)",182
"('10682_138',)",182
"('10390_118',)",182
"('10234_180',)",182
"('10067_13',)",182
"('10067_13', '192.168.220.51')",182
"('10171_145',)",183
"('10235_3',)",183
"('10896_229',)",183
"('11886_158',)",183
"('12042_236',)",183
"('10438_14',)",184
"('11003_235',)",184
"('11442_148',)",184
"('11442_148', '192.168.220.50')",118
"('10790_151',)",184
"('11621_218',)",184
"('11819_28',)",184
"('11891_16',)",184
"('10416_44',)",184
"('13922_34',)",184
"('14190_146',)",184
"('14190_146', '192.168.220.51')",184
"('10089_10',)",185
"('10246_241',)",185
"('11734_1',)",185
"('11773_187',)",185
"('11773_187', '192.168.220.51')",152
"('10560_40',)",185
"('12151_174',)",185
"('12327_141',)",185
"('10501_106',)",186
"('10716_204',)",186
"('11089_140',)",186
"('11709_74',)",186
"('10977_209',)",186
"('10067_167',)",186
"('10067_167', '192.168.220.47')",158
"('10575_178',)",186
"('10392_51',)",186
"('12466_126',)",186
"('12482_155',)",186
"('10371_10',)",187
"('11479_81',)",187
"('11532_255',)",187
"('10088_208',)",187
"('10088_208', '192.168.220.51')",187
"('10030_164',)",187
"('10030_164', '192.168.210.53')",149
"('13076_159',)",187
"('13076_159', '192.168.220.45')",187
"('10627_34',)",188
"('11584_2',)",188
"('11584_2', '192.168.220.51')",188
"('12259_75',)",188
"('12973_6',)",188
"('10712_191',)",188
"('10712_191', '192.168.210.52')",182
"('11694_101',)",189
"('11694_101', '192.168.220.45')",189
"('10845_12',)",190
"('11007_19',)",190
"('10977_183',)",190
"('11487_252',)",190
"('11487_252', '192.168.220.51')",120
"('10268_16',)",190
"('10202_40',)",190
"('10088_17',)",190
"('12397_211',)",190
"('12943_248',)",190
"('12943_248', '192.168.210.47')",190
"('14132_36',)",190
"('14132_36', '192.168.220.51')",190
"('10351_135',)",191
"('10351_135', '192.168.210.47')",162
"('12138_238',)",191
"('12138_238', '192.168.220.51')",123
"('13301_86',)",191
"('13630_210',)",191
"('10391_182',)",192
"('10391_182', '192.168.220.51')",129
"('12699_158',)",192
"('12754_100',)",192
"('13823_18',)",192
"('13823_18', '192.168.220.43')",192
"('10573_247',)",193
"('10176_74',)",193
"('11069_141',)",193
"('12185_9',)",193
"('10823_84',)",193
"('11495_114',)",193
"('11495_114', '192.168.210.45')",131
"('10360_161',)",194
"('11106_22',)",194
"('12435_228',)",194
"('12435_228', '192.168.210.53')",194
"('13595_156',)",194
"('11094_193',)",195
"('11539_42',)",195
"('11539_42', '192.168.220.51')",146
"('10045_128',)",195
"('13557_91',)",195
"('13557_91', '192.168.220.49')",119
"('10088_44',)",195
"('10088_44', '192.168.220.51')",195
"('10796_193',)",196
"('10028_170',)",196
"('11716_230',)",196
"('11769_156',)",196
"('11769_156', '192.168.220.51')",150
"('11917_202',)",196
"('10381_231',)",196
"('10592_46',)",196
"('11090_128',)",196
"('11090_128', '192.168.220.51')",126
"('13888_5',)",196
"('13888_5', '192.168.210.49')",129
"('10045_237',)",197
"('10045_237', '192.168.220.47')",119
"('10625_117',)",197
"('11383_71',)",197
"('11383_71', '192.168.220.42')",150
"('10058_83',)",197
"('10078_114',)",198
"('10431_87',)",198
"('10660_99',)",198
"('10760_32',)",198
"('11000_102',)",198
"('11461_73',)",198
"('11510_159',)",198
"('11510_159', '192.168.220.50')",198
"('11635_193',)",198
"('11635_193', '192.168.210.53')",122
"('10021_133',)",198
"('10021_133', '192.168.210.54')",198
"('10088_132',)",198
"('10057_224',)",198
"('10703_138',)",199
"('11303_162',)",199
"('10078_112',)",199
"('11605_98',)",199
"('11605_98', '192.168.220.51')",199
"('10078_119',)",200
"('10482_134',)",200
"('11367_42',)",200
"('11521_105',)",200
"('11569_19',)",200
"('10790_141',)",200
"('13201_102',)",200
"('10286_163',)",200
"('10286_163', '192.168.220.50')",200
"('10030_163',)",201
"('10030_163', '192.168.220.42')",199
"('11222_71',)",201
"('11881_47',)",201
"('10000_42',)",202
"('12306_119',)",202
"('13005_37',)",202
"('11618_182',)",203
"('12370_168',)",203
"('10108_8',)",204
"('10545_99',)",204
"('10145_215',)",204
"('10981_41',)",204
"('10981_41', '192.168.220.51')",160
"('11075_4',)",204
"('11473_208',)",204
"('10003_162',)",204
"('10003_162', '192.168.220.42')",168
"('10708_44',)",204
"('10977_157',)",204
"('10977_157', '192.168.220.47')",130
"('12733_147',)",204
"('12733_147', '192.168.220.51')",204
"('10003_51',)",204
"('10003_51', '192.168.220.51')",204
"('13239_133',)",204
"('13239_133', '192.168.210.54')",204
"('12712_50',)",204
"('12712_50', '192.168.220.51')",204
"('10050_8',)",205
"('10416_36',)",205
"('10855_242',)",205
"('11228_154',)",205
"('10444_160',)",205
"('10099_88',)",205
"('10099_88', '192.168.220.47')",197
"('12154_189',)",205
"('12870_234',)",205
"('12870_234', '192.168.220.51')",183
"('10698_157',)",206
"('10698_157', '192.168.210.55')",202
"('10915_119',)",206
"('11195_138',)",206
"('10330_39',)",206
"('10050_4',)",206
"('10045_119',)",206
"('11930_138',)",206
"('11930_138', '192.168.220.47')",206
"('12390_211',)",206
"('12505_27',)",206
"('10175_115',)",207
"('10198_192',)",207
"('10858_203',)",207
"('12020_55',)",207
"('10156_35',)",208
"('10123_26',)",208
"('10243_144',)",208
"('10776_93',)",208
"('12107_9',)",208
"('12926_194',)",208
"('12973_7',)",208
"('13265_204',)",208
"('10565_164',)",209
"('10565_164', '192.168.220.47')",120
"('10920_2',)",209
"('10246_52',)",209
"('12726_206',)",209
"('12726_206', '192.168.220.51')",133
"('13346_32',)",209
"('13346_32', '192.168.220.51')",209
"('10151_12',)",210
"('10808_52',)",210
"('10903_45',)",210
"('10903_45', '192.168.210.53')",119
"('10993_72',)",210
"('11196_243',)",210
"('11585_52',)",210
"('11585_52', '192.168.220.45')",166
"('10446_77',)",210
"('10697_216',)",210
"('10045_162',)",210
"('10099_97',)",210
"('10099_97', '192.168.220.47')",210
"('12071_148',)",210
"('12753_17',)",210
"('10602_62',)",211
"('10824_134',)",211
"('10824_134', '192.168.220.51')",137
"('11980_231',)",211
"('12014_189',)",211
"('12014_189', '192.168.220.47')",120
"('12927_14',)",211
"('10096_39',)",212
"('10751_150',)",212
"('10292_70',)",212
"('11953_211',)",212
"('11953_211', '192.168.210.47')",198
"('12285_67',)",212
"('12979_241',)",212
"('12979_241', '192.168.210.53')",151
"('10445_25',)",213
"('10841_252',)",213
"('11104_54',)",214
"('11476_76',)",214
"('10371_6',)",214
"('12044_3',)",214
"('10099_129',)",214
"('13519_33',)",214
"('10501_75',)",215
"('11368_115',)",215
"('10092_233',)",215
"('11662_98',)",216
"('11662_98', '192.168.220.51')",135
"('11930_168',)",216
"('11676_117',)",216
"('11676_117', '192.168.210.53')",216
"('14188_97',)",216
"('14188_97', '192.168.220.51')",216
"('10255_98',)",217
"('11809_11',)",217
"('10108_18',)",217
"('12016_125',)",217
"('12952_120',)",217
"('12952_120', '192.168.220.42')",178
"('10081_117',)",218
"('10187_142',)",218
"('10114_180',)",218
"('11412_125',)",218
"('11412_125', '192.168.210.47')",138
"('10292_197',)",218
"('10292_197', '192.168.220.51')",158
"('11531_23',)",218
"('11811_195',)",218
"('10088_238',)",218
"('11966_72',)",218
"('12288_181',)",218
"('10605_250',)",219
"('10667_129',)",219
"('10484_84',)",219
"('12056_3',)",219
"('12056_3', '192.168.220.47')",120
"('12924_178',)",219
"('12924_178', '192.168.220.42')",166
"('10557_127',)",220
"('10557_127', '192.168.220.47')",172
"('10610_181',)",220
"('10784_26',)",220
"('10484_64',)",220
"('11415_252',)",220
"('11415_252', '192.168.210.47')",150
"('10093_35',)",220
"('10093_35', '192.168.220.50')",144
"('10712_180',)",220
"('10712_180', '192.168.210.47')",188
"('10050_0',)",221
"('10774_7',)",221
"('11351_175',)",221
"('10962_223',)",222
"('11788_228',)",222
"('11832_55',)",222
"('12266_231',)",222
"('10123_51',)",222
"('10123_51', '192.168.220.51')",210
"('12851_65',)",222
"('13612_216',)",222
"('13612_216', '192.168.220.51')",204
"('10045_232',)",223
"('10058_166',)",224
"('10863_249',)",225
"('10863_249', '192.168.220.51')",191
"('11748_215',)",225
"('13826_69',)",225
"('13826_69', '192.168.220.43')",162
"('10273_86',)",226
"('10697_232',)",226
"('11910_126',)",226
"('13236_133',)",226
"('13236_133', '192.168.210.48')",226
"('13372_212',)",226
"('13372_212', '192.168.220.51')",156
"('14096_221',)",227
"('14096_221', '192.168.210.57')",227
"('10358_174',)",228
"('10730_86',)",228
"('10890_153',)",228
"('11149_151',)",228
"('11175_34',)",228
"('11175_34', '192.168.220.51')",204
"('11272_253',)",228
"('10234_110',)",228
"('10517_195',)",229
"('10847_207',)",229
"('11420_114',)",231
"('11420_114', '192.168.220.47')",200
"('10078_113',)",231
"('10078_113', '192.168.220.51')",181
"('13613_70',)",231
"('13613_70', '192.168.220.51')",231
"('13776_200',)",231
"('10088_40',)",232
"('10088_40', '192.168.210.53')",156
"('10160_81',)",233
"('10160_81', '192.168.220.46')",184
"('10302_128',)",233
"('10302_128', '192.168.220.51')",180
"('10484_96',)",233
"('12165_82',)",233
"('12374_102',)",233
"('12374_102', '192.168.220.51')",144
"('14022_8',)",233
"('14022_8', '192.168.220.50')",233
"('10568_154',)",234
"('10882_76',)",234
"('10882_76', '192.168.220.47')",146
"('12069_62',)",234
"('11930_171',)",234
"('11930_171', '192.168.220.51')",192
"('10413_156',)",235
"('10922_219',)",235
"('10712_198',)",235
"('11067_22',)",235
"('10788_15',)",236
"('11408_132',)",236
"('10275_3',)",236
"('10275_3', '192.168.220.47')",236
"('13491_83',)",236
"('13491_83', '192.168.220.50')",236
"('10608_84',)",237
"('10484_100',)",237
"('11146_251',)",237
"('11146_251', '192.168.210.56')",133
"('10151_8',)",237
"('10189_160',)",237
"('10602_94',)",238
"('10602_94', '192.168.210.49')",138
"('11338_28',)",238
"('12020_33',)",238
"('10203_94',)",238
"('10487_171',)",239
"('10487_171', '192.168.220.51')",130
"('10027_202',)",239
"('10108_21',)",239
"('10108_21', '192.168.220.47')",125
"('11319_131',)",239
"('12405_222',)",239
"('10784_24',)",240
"('11074_33',)",240
"('11090_132',)",241
"('14121_231',)",241
"('14121_231', '192.168.220.51')",120
"('10027_200',)",242
"('11183_233',)",242
"('10021_166',)",242
"('10021_166', '192.168.220.50')",118
"('12893_235',)",242
