,0,IP
"('10343_18', '192.168.220.50')",12,"('10343_18', '192.168.220.50')"
"('13112_61',)",12,"('13112_61',)"
"('13112_61', '192.168.220.50')",12,"('13112_61', '192.168.220.50')"
"('11839_40',)",12,"('11839_40',)"
"('11839_40', '192.168.220.42')",12,"('11839_40', '192.168.220.42')"
"('10718_186',)",12,"('10718_186',)"
"('10718_186', '192.168.220.45')",12,"('10718_186', '192.168.220.45')"
"('13127_52',)",12,"('13127_52',)"
"('13127_52', '192.168.220.51')",12,"('13127_52', '192.168.220.51')"
"('12911_80',)",12,"('12911_80',)"
"('12911_80', '192.168.220.51')",12,"('12911_80', '192.168.220.51')"
"('11904_210',)",12,"('11904_210',)"
"('11904_210', '192.168.220.51')",12,"('11904_210', '192.168.220.51')"
"('13144_110',)",12,"('13144_110',)"
"('11079_171',)",12,"('11079_171',)"
"('11079_171', '192.168.220.45')",12,"('11079_171', '192.168.220.45')"
"('11831_58',)",12,"('11831_58',)"
"('11831_58', '192.168.210.57')",12,"('11831_58', '192.168.210.57')"
"('10321_124',)",12,"('10321_124',)"
"('10321_124', '192.168.210.57')",12,"('10321_124', '192.168.210.57')"
"('10088_244',)",12,"('10088_244',)"
"('10088_244', '192.168.210.49')",12,"('10088_244', '192.168.210.49')"
"('10088_99',)",12,"('10088_99',)"
"('10343_178',)",12,"('10343_178',)"
"('11611_16',)",12,"('11611_16',)"
"('13212_3',)",12,"('13212_3',)"
"('13212_3', '192.168.220.46')",12,"('13212_3', '192.168.220.46')"
"('11729_52',)",12,"('11729_52',)"
"('11729_52', '192.168.220.46')",12,"('11729_52', '192.168.220.46')"
"('13257_34',)",12,"('13257_34',)"
"('13257_34', '192.168.220.50')",12,"('13257_34', '192.168.220.50')"
"('11851_18',)",12,"('11851_18',)"
"('11851_18', '192.168.220.47')",12,"('11851_18', '192.168.220.47')"
"('10151_43',)",12,"('10151_43',)"
"('10151_43', '192.168.210.47')",12,"('10151_43', '192.168.210.47')"
"('13291_9',)",12,"('13291_9',)"
"('13291_9', '192.168.210.47')",12,"('13291_9', '192.168.210.47')"
"('13300_229',)",12,"('13300_229',)"
"('13300_229', '192.168.220.45')",12,"('13300_229', '192.168.220.45')"
"('10366_129',)",12,"('10366_129',)"
"('10694_98',)",12,"('10694_98',)"
"('10694_98', '192.168.210.45')",12,"('10694_98', '192.168.210.45')"
"('13292_195',)",12,"('13292_195',)"
"('13292_195', '192.168.210.52')",12,"('13292_195', '192.168.210.52')"
"('10708_146',)",12,"('10708_146',)"
"('10708_146', '192.168.220.51')",12,"('10708_146', '192.168.220.51')"
"('10708_170',)",12,"('10708_170',)"
"('10708_170', '192.168.220.51')",12,"('10708_170', '192.168.220.51')"
"('11956_15',)",12,"('11956_15',)"
"('11956_15', '192.168.220.47')",12,"('11956_15', '192.168.220.47')"
"('10058_174',)",12,"('10058_174',)"
"('10058_174', '192.168.220.47')",12,"('10058_174', '192.168.220.47')"
"('13466_186',)",12,"('13466_186',)"
"('11859_0',)",12,"('11859_0',)"
"('11859_0', '192.168.220.50')",12,"('11859_0', '192.168.220.50')"
"('12103_68',)",12,"('12103_68',)"
"('12103_68', '192.168.220.50')",12,"('12103_68', '192.168.220.50')"
"('13476_0',)",12,"('13476_0',)"
"('13476_0', '192.168.220.50')",12,"('13476_0', '192.168.220.50')"
"('11327_52',)",12,"('11327_52',)"
"('11327_52', '192.168.220.50')",12,"('11327_52', '192.168.220.50')"
"('13503_108',)",12,"('13503_108',)"
"('13503_108', '192.168.220.43')",12,"('13503_108', '192.168.220.43')"
"('13504_101',)",12,"('13504_101',)"
"('13504_101', '192.168.220.50')",12,"('13504_101', '192.168.220.50')"
"('11848_195',)",12,"('11848_195',)"
"('11848_195', '192.168.220.50')",12,"('11848_195', '192.168.220.50')"
"('13514_2',)",12,"('13514_2',)"
"('13514_2', '192.168.220.50')",12,"('13514_2', '192.168.220.50')"
"('13534_44',)",12,"('13534_44',)"
"('13541_110',)",12,"('13541_110',)"
"('13541_110', '192.168.210.46')",12,"('13541_110', '192.168.210.46')"
"('10299_58',)",12,"('10299_58',)"
"('10299_58', '192.168.220.47')",12,"('10299_58', '192.168.220.47')"
"('11323_139',)",12,"('11323_139',)"
"('11323_139', '192.168.210.52')",12,"('11323_139', '192.168.210.52')"
"('13619_115',)",12,"('13619_115',)"
"('13619_115', '192.168.220.45')",12,"('13619_115', '192.168.220.45')"
"('12730_61',)",12,"('12730_61',)"
"('12730_61', '192.168.220.45')",12,"('12730_61', '192.168.220.45')"
"('10694_82',)",12,"('10694_82',)"
"('10694_82', '192.168.220.45')",12,"('10694_82', '192.168.220.45')"
"('10372_67',)",12,"('10372_67',)"
"('10372_67', '192.168.210.47')",12,"('10372_67', '192.168.210.47')"
"('13635_118',)",12,"('13635_118',)"
"('10343_2',)",12,"('10343_2',)"
"('10343_2', '192.168.210.54')",12,"('10343_2', '192.168.210.54')"
"('10517_194',)",12,"('10517_194',)"
"('10517_194', '192.168.210.54')",12,"('10517_194', '192.168.210.54')"
"('13640_169',)",12,"('13640_169',)"
"('13640_169', '192.168.210.53')",12,"('13640_169', '192.168.210.53')"
"('11394_50',)",12,"('11394_50',)"
"('11394_50', '192.168.220.47')",12,"('11394_50', '192.168.220.47')"
"('13688_215',)",12,"('13688_215',)"
"('13688_215', '192.168.210.45')",12,"('13688_215', '192.168.210.45')"
"('13699_171',)",12,"('13699_171',)"
"('13699_171', '192.168.210.48')",12,"('13699_171', '192.168.210.48')"
"('13710_92',)",12,"('13710_92',)"
"('13710_92', '192.168.220.42')",12,"('13710_92', '192.168.220.42')"
"('13789_55',)",12,"('13789_55',)"
"('13789_55', '192.168.220.42')",12,"('13789_55', '192.168.220.42')"
"('11189_220',)",12,"('11189_220',)"
"('11189_220', '192.168.210.53')",12,"('11189_220', '192.168.210.53')"
"('13092_168',)",12,"('13092_168',)"
"('13092_168', '192.168.210.55')",12,"('13092_168', '192.168.210.55')"
"('13811_135',)",12,"('13811_135',)"
"('13811_135', '192.168.210.55')",12,"('13811_135', '192.168.210.55')"
"('11649_211',)",12,"('11649_211',)"
"('11649_211', '192.168.210.54')",12,"('11649_211', '192.168.210.54')"
"('10371_39',)",12,"('10371_39',)"
"('10371_39', '192.168.210.47')",12,"('10371_39', '192.168.210.47')"
"('13839_54',)",12,"('13839_54',)"
"('13839_54', '192.168.210.47')",12,"('13839_54', '192.168.210.47')"
"('13841_71',)",12,"('13841_71',)"
"('13841_71', '192.168.210.55')",12,"('13841_71', '192.168.210.55')"
"('10838_235',)",12,"('10838_235',)"
"('13292_154',)",12,"('13292_154',)"
"('13292_154', '192.168.220.42')",12,"('13292_154', '192.168.220.42')"
"('13872_83',)",12,"('13872_83',)"
"('13872_83', '192.168.220.47')",12,"('13872_83', '192.168.220.47')"
"('11394_74',)",12,"('11394_74',)"
"('11394_74', '192.168.210.49')",12,"('11394_74', '192.168.210.49')"
"('10343_130',)",12,"('10343_130',)"
"('10343_130', '192.168.210.52')",12,"('10343_130', '192.168.210.52')"
"('10237_13',)",12,"('10237_13',)"
"('10237_13', '192.168.220.50')",12,"('10237_13', '192.168.220.50')"
"('13918_58',)",12,"('13918_58',)"
"('13918_58', '192.168.220.50')",12,"('13918_58', '192.168.220.50')"
"('13936_3',)",12,"('13936_3',)"
"('13936_3', '192.168.210.54')",12,"('13936_3', '192.168.210.54')"
"('12263_154',)",12,"('12263_154',)"
"('12263_154', '192.168.220.49')",12,"('12263_154', '192.168.220.49')"
"('11791_177',)",12,"('11791_177',)"
"('11791_177', '192.168.220.49')",12,"('11791_177', '192.168.220.49')"
"('13982_46',)",12,"('13982_46',)"
"('13982_46', '192.168.210.55')",12,"('13982_46', '192.168.210.55')"
"('10455_248',)",12,"('10455_248',)"
"('10455_248', '192.168.220.42')",12,"('10455_248', '192.168.220.42')"
"('11166_125',)",12,"('11166_125',)"
"('11166_125', '192.168.220.48')",12,"('11166_125', '192.168.220.48')"
"('10416_114',)",12,"('10416_114',)"
"('10416_114', '192.168.220.51')",12,"('10416_114', '192.168.220.51')"
"('10070_52',)",12,"('10070_52',)"
"('11278_242',)",12,"('11278_242',)"
"('11278_242', '192.168.220.49')",12,"('11278_242', '192.168.220.49')"
"('14119_127',)",12,"('14119_127',)"
"('14119_127', '192.168.220.45')",12,"('14119_127', '192.168.220.45')"
"('14126_240',)",12,"('14126_240',)"
"('14126_240', '192.168.210.53')",12,"('14126_240', '192.168.210.53')"
"('10236_155',)",12,"('10236_155',)"
"('10236_155', '192.168.210.55')",12,"('10236_155', '192.168.210.55')"
"('12552_131',)",12,"('12552_131',)"
"('12552_131', '192.168.220.43')",12,"('12552_131', '192.168.220.43')"
"('14146_40',)",12,"('14146_40',)"
"('14146_40', '192.168.220.51')",12,"('14146_40', '192.168.220.51')"
"('10248_40',)",12,"('10248_40',)"
"('10248_40', '192.168.220.51')",12,"('10248_40', '192.168.220.51')"
"('10718_129',)",12,"('10718_129',)"
"('10718_129', '192.168.210.54')",12,"('10718_129', '192.168.210.54')"
"('10987_72',)",12,"('10987_72',)"
"('10987_72', '192.168.220.51')",12,"('10987_72', '192.168.220.51')"
"('12472_247',)",12,"('12472_247',)"
"('14198_6',)",12,"('14198_6',)"
"('14198_6', '192.168.220.51')",12,"('14198_6', '192.168.220.51')"
"('10904_32',)",12,"('10904_32',)"
"('10904_32', '192.168.220.51')",12,"('10904_32', '192.168.220.51')"
"('10796_33',)",12,"('10796_33',)"
"('10796_33', '192.168.220.51')",12,"('10796_33', '192.168.220.51')"
"('14216_255',)",12,"('14216_255',)"
"('14216_255', '192.168.220.42')",12,"('14216_255', '192.168.220.42')"
"('14217_60',)",12,"('14217_60',)"
"('14236_8',)",12,"('14236_8',)"
"('14236_8', '192.168.220.51')",12,"('14236_8', '192.168.220.51')"
"('14239_51',)",12,"('14239_51',)"
"('14239_51', '192.168.220.51')",12,"('14239_51', '192.168.220.51')"
"('10532_212',)",12,"('10532_212',)"
"('10532_212', '192.168.220.51')",12,"('10532_212', '192.168.220.51')"
"('14244_209',)",12,"('14244_209',)"
"('14244_209', '192.168.220.51')",12,"('14244_209', '192.168.220.51')"
"('14248_185',)",12,"('14248_185',)"
"('14248_185', '192.168.220.51')",12,"('14248_185', '192.168.220.51')"
"('14249_110',)",12,"('14249_110',)"
"('14249_110', '192.168.220.51')",12,"('14249_110', '192.168.220.51')"
"('11151_232',)",12,"('11151_232',)"
"('11151_232', '192.168.220.46')",12,"('11151_232', '192.168.220.46')"
"('13292_211',)",12,"('13292_211',)"
"('13292_211', '192.168.220.51')",12,"('13292_211', '192.168.220.51')"
"('10366_122',)",12,"('10366_122',)"
"('10366_122', '192.168.220.51')",12,"('10366_122', '192.168.220.51')"
"('12902_239',)",12,"('12902_239',)"
"('12902_239', '192.168.220.51')",12,"('12902_239', '192.168.220.51')"
"('10694_124',)",12,"('10694_124',)"
"('10694_124', '192.168.220.51')",12,"('10694_124', '192.168.220.51')"
"('14291_136',)",12,"('14291_136',)"
"('14291_136', '192.168.220.51')",12,"('14291_136', '192.168.220.51')"
"('14292_83',)",12,"('14292_83',)"
"('14292_83', '192.168.220.51')",12,"('14292_83', '192.168.220.51')"
"('14294_197',)",12,"('14294_197',)"
"('14294_197', '192.168.220.49')",12,"('14294_197', '192.168.220.49')"
"('14315_143',)",12,"('14315_143',)"
"('14315_143', '192.168.220.51')",12,"('14315_143', '192.168.220.51')"
"('14316_184',)",12,"('14316_184',)"
"('14316_184', '192.168.220.51')",12,"('14316_184', '192.168.220.51')"
"('14325_226',)",12,"('14325_226',)"
"('14325_226', '192.168.220.51')",12,"('14325_226', '192.168.220.51')"
"('10717_232',)",12,"('10717_232',)"
"('10717_232', '192.168.210.56')",12,"('10717_232', '192.168.210.56')"
"('11972_149',)",12,"('11972_149',)"
"('11972_149', '192.168.220.47')",12,"('11972_149', '192.168.220.47')"
"('14342_117',)",12,"('14342_117',)"
"('14342_117', '192.168.220.47')",12,"('14342_117', '192.168.220.47')"
"('14352_36',)",12,"('14352_36',)"
"('10463_45',)",12,"('10463_45',)"
"('10463_45', '192.168.220.43')",12,"('10463_45', '192.168.220.43')"
"('10273_215',)",12,"('10273_215',)"
"('10273_215', '192.168.220.45')",12,"('10273_215', '192.168.220.45')"
"('10789_98',)",12,"('10789_98',)"
"('10789_98', '192.168.220.45')",12,"('10789_98', '192.168.220.45')"
"('10879_209',)",12,"('10879_209',)"
"('10879_209', '192.168.220.46')",12,"('10879_209', '192.168.220.46')"
"('11859_72',)",12,"('11859_72',)"
"('11859_72', '192.168.210.53')",12,"('11859_72', '192.168.210.53')"
"('10597_69',)",12,"('10597_69',)"
"('10597_69', '192.168.220.46')",12,"('10597_69', '192.168.220.46')"
"('10057_63',)",12,"('10057_63',)"
"('10057_63', '192.168.210.53')",12,"('10057_63', '192.168.210.53')"
"('10372_59',)",12,"('10372_59',)"
"('10372_59', '192.168.210.49')",12,"('10372_59', '192.168.210.49')"
"('14361_240',)",12,"('14361_240',)"
"('14361_240', '192.168.210.49')",12,"('14361_240', '192.168.210.49')"
"('14510_241',)",12,"('14510_241',)"
"('14510_241', '192.168.210.49')",12,"('14510_241', '192.168.210.49')"
"('14294_202',)",12,"('14294_202',)"
"('14294_202', '192.168.220.51')",12,"('14294_202', '192.168.220.51')"
"('11859_240',)",12,"('11859_240',)"
"('11859_240', '192.168.220.51')",12,"('11859_240', '192.168.220.51')"
"('14524_43',)",12,"('14524_43',)"
"('14524_43', '192.168.210.50')",12,"('14524_43', '192.168.210.50')"
"('14527_198',)",12,"('14527_198',)"
"('14527_198', '192.168.220.47')",12,"('14527_198', '192.168.220.47')"
"('13257_35',)",12,"('13257_35',)"
"('13257_35', '192.168.220.47')",12,"('13257_35', '192.168.220.47')"
"('14535_222',)",12,"('14535_222',)"
"('14535_222', '192.168.220.51')",12,"('14535_222', '192.168.220.51')"
"('12902_237',)",12,"('12902_237',)"
"('12902_237', '192.168.210.56')",12,"('12902_237', '192.168.210.56')"
"('10694_50',)",12,"('10694_50',)"
"('10694_50', '192.168.210.54')",12,"('10694_50', '192.168.210.54')"
"('14550_78',)",12,"('14550_78',)"
"('14550_78', '192.168.210.56')",12,"('14550_78', '192.168.210.56')"
"('11282_85',)",12,"('11282_85',)"
"('11282_85', '192.168.220.51')",12,"('11282_85', '192.168.220.51')"
"('14584_229',)",12,"('14584_229',)"
"('14584_229', '192.168.220.42')",12,"('14584_229', '192.168.220.42')"
"('10567_26',)",12,"('10567_26',)"
"('10567_26', '192.168.210.56')",12,"('10567_26', '192.168.210.56')"
"('14622_69',)",12,"('14622_69',)"
"('14622_69', '192.168.210.48')",12,"('14622_69', '192.168.210.48')"
"('10425_125',)",13,"('10425_125',)"
"('10425_125', '192.168.220.47')",13,"('10425_125', '192.168.220.47')"
"('10870_113',)",13,"('10870_113',)"
"('10870_113', '192.168.210.48')",13,"('10870_113', '192.168.210.48')"
"('11574_104',)",13,"('11574_104',)"
"('11574_104', '192.168.220.47')",13,"('11574_104', '192.168.220.47')"
"('11192_184',)",13,"('11192_184',)"
"('11192_184', '192.168.220.51')",13,"('11192_184', '192.168.220.51')"
"('12135_71',)",13,"('12135_71',)"
"('12135_71', '192.168.220.42')",13,"('12135_71', '192.168.220.42')"
"('11859_24',)",13,"('11859_24',)"
"('12247_99',)",13,"('12247_99',)"
"('12300_231',)",13,"('12300_231',)"
"('12300_231', '192.168.210.45')",13,"('12300_231', '192.168.210.45')"
"('12441_73',)",13,"('12441_73',)"
"('12441_73', '192.168.220.47')",13,"('12441_73', '192.168.220.47')"
"('10963_67',)",13,"('10963_67',)"
"('10963_67', '192.168.210.55')",13,"('10963_67', '192.168.210.55')"
"('12614_43',)",13,"('12614_43',)"
"('12614_43', '192.168.220.48')",13,"('12614_43', '192.168.220.48')"
"('11192_8',)",13,"('11192_8',)"
"('10048_89',)",13,"('10048_89',)"
"('12972_72',)",13,"('12972_72',)"
"('11340_251',)",13,"('11340_251',)"
"('11340_251', '192.168.220.45')",13,"('11340_251', '192.168.220.45')"
"('12997_223',)",13,"('12997_223',)"
"('12997_223', '192.168.220.51')",13,"('12997_223', '192.168.220.51')"
"('13164_85',)",13,"('13164_85',)"
"('11189_226',)",13,"('11189_226',)"
"('11151_152',)",13,"('11151_152',)"
"('11151_152', '192.168.220.48')",13,"('11151_152', '192.168.220.48')"
"('10463_51',)",13,"('10463_51',)"
"('11649_24',)",13,"('11649_24',)"
"('13297_82',)",13,"('13297_82',)"
"('13297_82', '192.168.210.50')",13,"('13297_82', '192.168.210.50')"
"('12972_160',)",13,"('12972_160',)"
"('12972_160', '192.168.220.51')",13,"('12972_160', '192.168.220.51')"
"('12187_227',)",13,"('12187_227',)"
"('12187_227', '192.168.210.52')",13,"('12187_227', '192.168.210.52')"
"('13390_169',)",13,"('13390_169',)"
"('13390_169', '192.168.220.51')",13,"('13390_169', '192.168.220.51')"
"('13456_14',)",13,"('13456_14',)"
"('13456_14', '192.168.210.48')",13,"('13456_14', '192.168.210.48')"
"('11267_243',)",13,"('11267_243',)"
"('11061_115',)",13,"('11061_115',)"
"('11061_115', '192.168.220.47')",13,"('11061_115', '192.168.220.47')"
"('13774_199',)",13,"('13774_199',)"
