,IP,serverid
10863_249,10863_249,5.0
10906_97,10906_97,2.0
10938_103,10938_103,9.0
10981_41,10981_41,16.0
10995_230,10995_230,6.0
11005_49,11005_49,15.0
11014_136,11014_136,9.0
11084_93,11084_93,5.0
11145_10,11145_10,12.0
11175_34,11175_34,10.0
11288_117,11288_117,12.0
11297_166,11297_166,13.0
11389_206,11389_206,3.0
11396_48,11396_48,8.0
11420_114,11420_114,8.0
11424_123,11424_123,11.0
11446_134,11446_134,11.0
11453_45,11453_45,12.0
11462_178,11462_178,8.0
11510_159,11510_159,14.0
11513_244,11513_244,10.0
11539_42,11539_42,13.0
11584_2,11584_2,10.0
11585_52,11585_52,17.0
11598_243,11598_243,9.0
11605_98,11605_98,8.0
11609_24,11609_24,8.0
11612_109,11612_109,5.0
11615_255,11615_255,13.0
11662_84,11662_84,5.0
11676_117,11676_117,12.0
11681_180,11681_180,0.0
11685_203,11685_203,0.0
11694_101,11694_101,12.0
11698_111,11698_111,16.0
11701_221,11701_221,16.0
11714_20,11714_20,0.0
11717_73,11717_73,4.0
11729_91,11729_91,11.0
11733_33,11733_33,9.0
11739_82,11739_82,5.0
11752_128,11752_128,1.0
11769_156,11769_156,15.0
11772_235,11772_235,8.0
11773_187,11773_187,9.0
11774_182,11774_182,4.0
11802_44,11802_44,11.0
11808_161,11808_161,6.0
11814_18,11814_18,11.0
11841_162,11841_162,11.0
11857_10,11857_10,5.0
11860_211,11860_211,5.0
11861_165,11861_165,3.0
11922_96,11922_96,7.0
11925_110,11925_110,15.0
11926_102,11926_102,6.0
11927_84,11927_84,4.0
11930_138,11930_138,12.0
11930_171,11930_171,10.0
11935_173,11935_173,9.0
11952_193,11952_193,14.0
11953_211,11953_211,4.0
11967_252,11967_252,8.0
12002_76,12002_76,5.0
12011_65,12011_65,13.0
12045_56,12045_56,13.0
12046_203,12046_203,12.0
12048_246,12048_246,4.0
12050_200,12050_200,12.0
12055_225,12055_225,8.0
12056_136,12056_136,13.0
12056_21,12056_21,15.0
12087_137,12087_137,0.0
12088_61,12088_61,14.0
12091_134,12091_134,2.0
12097_2,12097_2,13.0
12116_204,12116_204,10.0
12161_247,12161_247,13.0
12161_252,12161_252,7.0
12166_169,12166_169,6.0
12202_86,12202_86,13.0
12230_211,12230_211,9.0
12236_45,12236_45,4.0
12246_8,12246_8,8.0
12295_242,12295_242,14.0
12337_3,12337_3,13.0
12357_32,12357_32,13.0
12359_101,12359_101,15.0
12374_102,12374_102,14.0
12435_228,12435_228,9.0
12468_100,12468_100,15.0
12468_200,12468_200,17.0
12469_84,12469_84,17.0
12486_238,12486_238,1.0
12546_253,12546_253,11.0
12555_252,12555_252,14.0
12571_133,12571_133,4.0
12571_92,12571_92,16.0
12674_71,12674_71,9.0
12685_235,12685_235,6.0
12685_236,12685_236,12.0
12688_140,12688_140,14.0
12691_118,12691_118,6.0
12692_131,12692_131,14.0
12703_99,12703_99,14.0
12712_50,12712_50,5.0
12733_147,12733_147,2.0
12746_165,12746_165,9.0
12783_18,12783_18,11.0
12802_211,12802_211,2.0
12803_143,12803_143,16.0
12817_196,12817_196,5.0
12823_18,12823_18,2.0
12835_95,12835_95,6.0
12870_234,12870_234,13.0
12943_248,12943_248,5.0
12943_95,12943_95,7.0
12952_120,12952_120,13.0
12969_46,12969_46,9.0
12986_243,12986_243,5.0
13016_166,13016_166,8.0
13021_186,13021_186,7.0
13022_2,13022_2,2.0
13035_162,13035_162,1.0
13047_59,13047_59,1.0
13049_151,13049_151,9.0
13049_193,13049_193,0.0
13051_91,13051_91,15.0
13052_167,13052_167,4.0
13053_106,13053_106,0.0
13053_118,13053_118,0.0
13057_120,13057_120,11.0
13076_159,13076_159,14.0
13085_24,13085_24,12.0
13109_97,13109_97,14.0
13114_82,13114_82,5.0
13132_237,13132_237,14.0
13155_70,13155_70,6.0
13184_115,13184_115,1.0
13199_252,13199_252,15.0
13213_228,13213_228,8.0
13215_218,13215_218,2.0
13227_120,13227_120,16.0
13236_133,13236_133,5.0
13239_133,13239_133,9.0
13248_115,13248_115,10.0
13289_14,13289_14,5.0
13307_252,13307_252,7.0
13321_169,13321_169,11.0
13336_58,13336_58,3.0
13346_32,13346_32,6.0
13379_49,13379_49,1.0
13385_183,13385_183,6.0
13409_202,13409_202,7.0
13454_193,13454_193,8.0
13491_83,13491_83,3.0
13497_67,13497_67,3.0
13502_37,13502_37,6.0
13600_4,13600_4,16.0
13606_206,13606_206,3.0
13607_234,13607_234,4.0
13608_204,13608_204,4.0
13612_216,13612_216,8.0
13613_70,13613_70,3.0
13637_86,13637_86,11.0
13647_12,13647_12,7.0
13649_250,13649_250,10.0
13670_254,13670_254,3.0
13690_173,13690_173,12.0
13730_93,13730_93,6.0
13731_133,13731_133,7.0
13776_226,13776_226,2.0
13823_18,13823_18,13.0
13826_69,13826_69,8.0
13831_172,13831_172,17.0
13926_197,13926_197,12.0
13953_236,13953_236,3.0
13967_220,13967_220,8.0
13972_11,13972_11,11.0
14022_8,14022_8,7.0
14026_241,14026_241,8.0
14040_136,14040_136,4.0
14093_131,14093_131,13.0
14096_221,14096_221,8.0
14130_50,14130_50,12.0
14131_74,14131_74,10.0
14132_36,14132_36,15.0
14149_117,14149_117,13.0
14154_89,14154_89,16.0
14155_88,14155_88,16.0
14156_232,14156_232,6.0
14170_51,14170_51,0.0
14171_6,14171_6,2.0
14172_51,14172_51,1.0
14174_65,14174_65,10.0
14183_97,14183_97,6.0
14184_244,14184_244,1.0
14185_238,14185_238,0.0
14188_97,14188_97,7.0
14190_146,14190_146,5.0
14192_159,14192_159,2.0
14219_37,14219_37,15.0
14261_252,14261_252,10.0
14330_255,14330_255,12.0
14330_44,14330_44,7.0
14335_215,14335_215,12.0
14379_144,14379_144,3.0
14396_65,14396_65,15.0
14401_2,14401_2,10.0
14405_2,14405_2,11.0
14444_119,14444_119,3.0
14493_127,14493_127,7.0
14494_70,14494_70,5.0
14511_99,14511_99,10.0
14537_242,14537_242,9.0
14563_80,14563_80,7.0
14574_40,14574_40,10.0
14582_235,14582_235,15.0
14586_142,14586_142,12.0
14594_192,14594_192,14.0
14612_94,14612_94,11.0
14620_188,14620_188,11.0
192.168.100.1,192.168.100.1,0.0
192.168.100.14,192.168.100.14,0.0
192.168.100.2,192.168.100.2,0.0
192.168.100.20,192.168.100.20,2.0
192.168.200.1,192.168.200.1,3.0
192.168.200.2,192.168.200.2,17.0
192.168.210.1,192.168.210.1,17.0
192.168.210.45,192.168.210.45,4.0
192.168.210.46,192.168.210.46,5.0
192.168.210.47,192.168.210.47,4.0
192.168.210.48,192.168.210.48,5.0
192.168.210.49,192.168.210.49,1.0
192.168.210.50,192.168.210.50,3.0
192.168.210.52,192.168.210.52,1.0
192.168.210.53,192.168.210.53,0.0
192.168.210.54,192.168.210.54,0.0
192.168.210.55,192.168.210.55,9.0
192.168.210.56,192.168.210.56,0.0
192.168.210.57,192.168.210.57,4.0
192.168.220.1,192.168.220.1,0.0
192.168.220.2,192.168.220.2,16.0
192.168.220.42,192.168.220.42,3.0
192.168.220.43,192.168.220.43,1.0
192.168.220.45,192.168.220.45,3.0
192.168.220.46,192.168.220.46,2.0
192.168.220.47,192.168.220.47,0.0
192.168.220.48,192.168.220.48,1.0
192.168.220.49,192.168.220.49,4.0
192.168.220.50,192.168.220.50,3.0
192.168.220.51,192.168.220.51,0.0
