,IP_B,confidence,IP_A
"('12779_3',)","('192.168.220.50',)",1.0,"('12779_3',)"
"('10343_18',)","('192.168.220.50',)",1.0,"('10343_18',)"
"('13112_61',)","('192.168.220.50',)",1.0,"('13112_61',)"
"('11839_40',)","('192.168.220.42',)",1.0,"('11839_40',)"
"('10718_186',)","('192.168.220.45',)",1.0,"('10718_186',)"
"('13127_52',)","('192.168.220.51',)",1.0,"('13127_52',)"
"('12911_80',)","('192.168.220.51',)",1.0,"('12911_80',)"
"('11904_210',)","('192.168.220.51',)",1.0,"('11904_210',)"
"('11079_171',)","('192.168.220.45',)",1.0,"('11079_171',)"
"('11831_58',)","('192.168.210.57',)",1.0,"('11831_58',)"
"('10321_124',)","('192.168.210.57',)",1.0,"('10321_124',)"
"('10088_244',)","('192.168.210.49',)",1.0,"('10088_244',)"
"('13212_3',)","('192.168.220.46',)",1.0,"('13212_3',)"
"('11729_52',)","('192.168.220.46',)",1.0,"('11729_52',)"
"('13257_34',)","('192.168.220.50',)",1.0,"('13257_34',)"
"('11851_18',)","('192.168.220.47',)",1.0,"('11851_18',)"
"('10151_43',)","('192.168.210.47',)",1.0,"('10151_43',)"
"('13291_9',)","('192.168.210.47',)",1.0,"('13291_9',)"
"('13300_229',)","('192.168.220.45',)",1.0,"('13300_229',)"
"('10694_98',)","('192.168.210.45',)",1.0,"('10694_98',)"
"('13292_195',)","('192.168.210.52',)",1.0,"('13292_195',)"
"('10708_146',)","('192.168.220.51',)",1.0,"('10708_146',)"
"('10708_170',)","('192.168.220.51',)",1.0,"('10708_170',)"
"('11956_15',)","('192.168.220.47',)",1.0,"('11956_15',)"
"('10058_174',)","('192.168.220.47',)",1.0,"('10058_174',)"
"('11859_0',)","('192.168.220.50',)",1.0,"('11859_0',)"
"('12103_68',)","('192.168.220.50',)",1.0,"('12103_68',)"
"('13476_0',)","('192.168.220.50',)",1.0,"('13476_0',)"
"('11327_52',)","('192.168.220.50',)",1.0,"('11327_52',)"
"('13503_108',)","('192.168.220.43',)",1.0,"('13503_108',)"
"('13504_101',)","('192.168.220.50',)",1.0,"('13504_101',)"
"('11848_195',)","('192.168.220.50',)",1.0,"('11848_195',)"
"('13514_2',)","('192.168.220.50',)",1.0,"('13514_2',)"
"('13541_110',)","('192.168.210.46',)",1.0,"('13541_110',)"
"('10299_58',)","('192.168.220.47',)",1.0,"('10299_58',)"
"('11323_139',)","('192.168.210.52',)",1.0,"('11323_139',)"
"('13619_115',)","('192.168.220.45',)",1.0,"('13619_115',)"
"('12730_61',)","('192.168.220.45',)",1.0,"('12730_61',)"
"('10694_82',)","('192.168.220.45',)",1.0,"('10694_82',)"
"('10372_67',)","('192.168.210.47',)",1.0,"('10372_67',)"
"('10343_2',)","('192.168.210.54',)",1.0,"('10343_2',)"
"('10517_194',)","('192.168.210.54',)",1.0,"('10517_194',)"
"('13640_169',)","('192.168.210.53',)",1.0,"('13640_169',)"
"('11394_50',)","('192.168.220.47',)",1.0,"('11394_50',)"
"('13688_215',)","('192.168.210.45',)",1.0,"('13688_215',)"
"('13699_171',)","('192.168.210.48',)",1.0,"('13699_171',)"
"('13710_92',)","('192.168.220.42',)",1.0,"('13710_92',)"
"('13789_55',)","('192.168.220.42',)",1.0,"('13789_55',)"
"('11189_220',)","('192.168.210.53',)",1.0,"('11189_220',)"
"('13092_168',)","('192.168.210.55',)",1.0,"('13092_168',)"
"('13811_135',)","('192.168.210.55',)",1.0,"('13811_135',)"
"('11649_211',)","('192.168.210.54',)",1.0,"('11649_211',)"
"('10371_39',)","('192.168.210.47',)",1.0,"('10371_39',)"
"('13839_54',)","('192.168.210.47',)",1.0,"('13839_54',)"
"('13841_71',)","('192.168.210.55',)",1.0,"('13841_71',)"
"('13292_154',)","('192.168.220.42',)",1.0,"('13292_154',)"
"('13872_83',)","('192.168.220.47',)",1.0,"('13872_83',)"
"('11394_74',)","('192.168.210.49',)",1.0,"('11394_74',)"
"('10343_130',)","('192.168.210.52',)",1.0,"('10343_130',)"
"('10237_13',)","('192.168.220.50',)",1.0,"('10237_13',)"
"('13918_58',)","('192.168.220.50',)",1.0,"('13918_58',)"
"('13936_3',)","('192.168.210.54',)",1.0,"('13936_3',)"
"('12263_154',)","('192.168.220.49',)",1.0,"('12263_154',)"
"('11791_177',)","('192.168.220.49',)",1.0,"('11791_177',)"
"('13982_46',)","('192.168.210.55',)",1.0,"('13982_46',)"
"('10455_248',)","('192.168.220.42',)",1.0,"('10455_248',)"
"('11166_125',)","('192.168.220.48',)",1.0,"('11166_125',)"
"('10416_114',)","('192.168.220.51',)",1.0,"('10416_114',)"
"('11278_242',)","('192.168.220.49',)",1.0,"('11278_242',)"
"('14119_127',)","('192.168.220.45',)",1.0,"('14119_127',)"
"('14126_240',)","('192.168.210.53',)",1.0,"('14126_240',)"
"('10236_155',)","('192.168.210.55',)",1.0,"('10236_155',)"
"('12552_131',)","('192.168.220.43',)",1.0,"('12552_131',)"
"('14146_40',)","('192.168.220.51',)",1.0,"('14146_40',)"
"('10248_40',)","('192.168.220.51',)",1.0,"('10248_40',)"
"('10718_129',)","('192.168.210.54',)",1.0,"('10718_129',)"
"('10987_72',)","('192.168.220.51',)",1.0,"('10987_72',)"
"('14198_6',)","('192.168.220.51',)",1.0,"('14198_6',)"
"('10904_32',)","('192.168.220.51',)",1.0,"('10904_32',)"
"('10796_33',)","('192.168.220.51',)",1.0,"('10796_33',)"
"('14216_255',)","('192.168.220.42',)",1.0,"('14216_255',)"
"('14236_8',)","('192.168.220.51',)",1.0,"('14236_8',)"
"('14239_51',)","('192.168.220.51',)",1.0,"('14239_51',)"
"('10532_212',)","('192.168.220.51',)",1.0,"('10532_212',)"
"('14244_209',)","('192.168.220.51',)",1.0,"('14244_209',)"
"('14248_185',)","('192.168.220.51',)",1.0,"('14248_185',)"
"('14249_110',)","('192.168.220.51',)",1.0,"('14249_110',)"
"('11151_232',)","('192.168.220.46',)",1.0,"('11151_232',)"
"('13292_211',)","('192.168.220.51',)",1.0,"('13292_211',)"
"('10366_122',)","('192.168.220.51',)",1.0,"('10366_122',)"
"('12902_239',)","('192.168.220.51',)",1.0,"('12902_239',)"
"('10694_124',)","('192.168.220.51',)",1.0,"('10694_124',)"
"('14291_136',)","('192.168.220.51',)",1.0,"('14291_136',)"
"('14292_83',)","('192.168.220.51',)",1.0,"('14292_83',)"
"('14294_197',)","('192.168.220.49',)",1.0,"('14294_197',)"
"('14315_143',)","('192.168.220.51',)",1.0,"('14315_143',)"
"('14316_184',)","('192.168.220.51',)",1.0,"('14316_184',)"
"('14325_226',)","('192.168.220.51',)",1.0,"('14325_226',)"
"('10717_232',)","('192.168.210.56',)",1.0,"('10717_232',)"
"('11972_149',)","('192.168.220.47',)",1.0,"('11972_149',)"
"('14342_117',)","('192.168.220.47',)",1.0,"('14342_117',)"
"('10463_45',)","('192.168.220.43',)",1.0,"('10463_45',)"
"('10273_215',)","('192.168.220.45',)",1.0,"('10273_215',)"
"('10789_98',)","('192.168.220.45',)",1.0,"('10789_98',)"
"('10879_209',)","('192.168.220.46',)",1.0,"('10879_209',)"
"('11859_72',)","('192.168.210.53',)",1.0,"('11859_72',)"
"('10597_69',)","('192.168.220.46',)",1.0,"('10597_69',)"
"('10057_63',)","('192.168.210.53',)",1.0,"('10057_63',)"
"('10372_59',)","('192.168.210.49',)",1.0,"('10372_59',)"
"('14361_240',)","('192.168.210.49',)",1.0,"('14361_240',)"
"('14510_241',)","('192.168.210.49',)",1.0,"('14510_241',)"
"('14294_202',)","('192.168.220.51',)",1.0,"('14294_202',)"
"('11859_240',)","('192.168.220.51',)",1.0,"('11859_240',)"
"('14524_43',)","('192.168.210.50',)",1.0,"('14524_43',)"
"('14527_198',)","('192.168.220.47',)",1.0,"('14527_198',)"
"('13257_35',)","('192.168.220.47',)",1.0,"('13257_35',)"
"('14535_222',)","('192.168.220.51',)",1.0,"('14535_222',)"
"('12902_237',)","('192.168.210.56',)",1.0,"('12902_237',)"
"('10694_50',)","('192.168.210.54',)",1.0,"('10694_50',)"
"('14550_78',)","('192.168.210.56',)",1.0,"('14550_78',)"
"('11282_85',)","('192.168.220.51',)",1.0,"('11282_85',)"
"('14584_229',)","('192.168.220.42',)",1.0,"('14584_229',)"
"('10567_26',)","('192.168.210.56',)",1.0,"('10567_26',)"
"('14622_69',)","('192.168.210.48',)",1.0,"('14622_69',)"
"('10425_125',)","('192.168.220.47',)",1.0,"('10425_125',)"
"('10870_113',)","('192.168.210.48',)",1.0,"('10870_113',)"
"('11574_104',)","('192.168.220.47',)",1.0,"('11574_104',)"
"('11192_184',)","('192.168.220.51',)",1.0,"('11192_184',)"
"('12135_71',)","('192.168.220.42',)",1.0,"('12135_71',)"
"('12300_231',)","('192.168.210.45',)",1.0,"('12300_231',)"
"('12441_73',)","('192.168.220.47',)",1.0,"('12441_73',)"
"('10963_67',)","('192.168.210.55',)",1.0,"('10963_67',)"
"('12614_43',)","('192.168.220.48',)",1.0,"('12614_43',)"
"('11340_251',)","('192.168.220.45',)",1.0,"('11340_251',)"
"('12997_223',)","('192.168.220.51',)",1.0,"('12997_223',)"
"('11151_152',)","('192.168.220.48',)",1.0,"('11151_152',)"
"('13297_82',)","('192.168.210.50',)",1.0,"('13297_82',)"
"('12972_160',)","('192.168.220.51',)",1.0,"('12972_160',)"
"('12187_227',)","('192.168.210.52',)",1.0,"('12187_227',)"
"('13390_169',)","('192.168.220.51',)",1.0,"('13390_169',)"
"('13456_14',)","('192.168.210.48',)",1.0,"('13456_14',)"
"('11061_115',)","('192.168.220.47',)",1.0,"('11061_115',)"
"('13774_199',)","('192.168.220.42',)",1.0,"('13774_199',)"
"('13915_115',)","('192.168.220.47',)",1.0,"('13915_115',)"
"('13942_104',)","('192.168.220.49',)",1.0,"('13942_104',)"
"('10764_120',)","('192.168.220.48',)",1.0,"('10764_120',)"
"('13590_195',)","('192.168.210.52',)",1.0,"('13590_195',)"
"('14073_77',)","('192.168.210.47',)",1.0,"('14073_77',)"
"('14128_89',)","('192.168.210.55',)",1.0,"('14128_89',)"
"('10632_155',)","('192.168.220.51',)",1.0,"('10632_155',)"
"('10214_18',)","('192.168.220.46',)",1.0,"('10214_18',)"
"('10427_123',)","('192.168.220.47',)",1.0,"('10427_123',)"
"('10653_11',)","('192.168.220.47',)",1.0,"('10653_11',)"
"('10717_227',)","('192.168.210.55',)",1.0,"('10717_227',)"
"('10391_116',)","('192.168.220.47',)",1.0,"('10391_116',)"
"('10924_79',)","('192.168.220.47',)",1.0,"('10924_79',)"
"('10989_86',)","('192.168.220.47',)",1.0,"('10989_86',)"
"('10234_211',)","('192.168.220.42',)",1.0,"('10234_211',)"
"('10108_22',)","('192.168.210.55',)",1.0,"('10108_22',)"
"('11171_120',)","('192.168.210.56',)",1.0,"('11171_120',)"
"('10622_18',)","('192.168.210.55',)",1.0,"('10622_18',)"
"('11229_119',)","('192.168.210.56',)",1.0,"('11229_119',)"
"('11250_9',)","('192.168.210.56',)",1.0,"('11250_9',)"
"('10696_11',)","('192.168.220.50',)",1.0,"('10696_11',)"
"('11394_164',)","('192.168.220.49',)",1.0,"('11394_164',)"
"('10653_13',)","('192.168.220.48',)",1.0,"('10653_13',)"
"('11687_175',)","('192.168.220.51',)",1.0,"('11687_175',)"
"('11700_10',)","('192.168.220.45',)",1.0,"('11700_10',)"
"('11623_2',)","('192.168.220.45',)",1.0,"('11623_2',)"
"('11879_95',)","('192.168.220.47',)",1.0,"('11879_95',)"
"('11905_53',)","('192.168.220.47',)",1.0,"('11905_53',)"
"('11932_150',)","('192.168.220.49',)",1.0,"('11932_150',)"
"('11946_60',)","('192.168.220.51',)",0.8571428571428571,"('11946_60',)"
"('11959_89',)","('192.168.220.51',)",1.0,"('11959_89',)"
"('11990_200',)","('192.168.220.47',)",1.0,"('11990_200',)"
"('12003_8',)","('192.168.220.47',)",1.0,"('12003_8',)"
"('12005_89',)","('192.168.220.47',)",1.0,"('12005_89',)"
"('12105_54',)","('192.168.220.42',)",1.0,"('12105_54',)"
"('12123_126',)","('192.168.220.42',)",1.0,"('12123_126',)"
"('12126_127',)","('192.168.220.42',)",1.0,"('12126_127',)"
"('12127_17',)","('192.168.220.42',)",1.0,"('12127_17',)"
"('12129_38',)","('192.168.220.42',)",1.0,"('12129_38',)"
"('12157_124',)","('192.168.210.53',)",1.0,"('12157_124',)"
"('12177_187',)","('192.168.220.51',)",1.0,"('12177_187',)"
"('12270_219',)","('192.168.220.51',)",1.0,"('12270_219',)"
"('12310_165',)","('192.168.220.42',)",1.0,"('12310_165',)"
"('11189_19',)","('192.168.220.51',)",1.0,"('11189_19',)"
"('11401_139',)","('192.168.220.47',)",1.0,"('11401_139',)"
"('10745_178',)","('192.168.220.51',)",1.0,"('10745_178',)"
"('12364_33',)","('192.168.220.51',)",1.0,"('12364_33',)"
"('11472_216',)","('192.168.220.47',)",1.0,"('11472_216',)"
"('12474_98',)","('192.168.210.55',)",1.0,"('12474_98',)"
"('12475_16',)","('192.168.210.55',)",1.0,"('12475_16',)"
"('12519_193',)","('192.168.210.55',)",1.0,"('12519_193',)"
"('12524_54',)","('192.168.210.55',)",1.0,"('12524_54',)"
"('12553_5',)","('192.168.220.42',)",1.0,"('12553_5',)"
"('12122_155',)","('192.168.220.42',)",1.0,"('12122_155',)"
"('12696_215',)","('192.168.220.51',)",1.0,"('12696_215',)"
"('11189_43',)","('192.168.210.53',)",1.0,"('11189_43',)"
"('12757_72',)","('192.168.210.55',)",1.0,"('12757_72',)"
"('11876_55',)","('192.168.210.54',)",1.0,"('11876_55',)"
"('12786_172',)","('192.168.210.54',)",1.0,"('12786_172',)"
"('12801_57',)","('192.168.220.51',)",1.0,"('12801_57',)"
"('12858_65',)","('192.168.210.47',)",1.0,"('12858_65',)"
"('12892_246',)","('192.168.220.43',)",1.0,"('12892_246',)"
"('12928_111',)","('192.168.220.47',)",1.0,"('12928_111',)"
"('192.168.200.255',)","('192.168.220.51',)",1.0,"('192.168.200.255',)"
"('12966_141',)","('192.168.210.47',)",1.0,"('12966_141',)"
"('11652_133',)","('192.168.220.51',)",1.0,"('11652_133',)"
"('12991_187',)","('192.168.220.45',)",1.0,"('12991_187',)"
"('10114_104',)","('192.168.210.55',)",1.0,"('10114_104',)"
"('13143_67',)","('192.168.220.51',)",1.0,"('13143_67',)"
"('13161_47',)","('192.168.220.51',)",1.0,"('13161_47',)"
"('13175_82',)","('192.168.210.49',)",1.0,"('13175_82',)"
"('13177_248',)","('192.168.210.49',)",1.0,"('13177_248',)"
"('13211_72',)","('192.168.210.54',)",1.0,"('13211_72',)"
"('12975_189',)","('192.168.220.42',)",1.0,"('12975_189',)"
"('13218_137',)","('192.168.220.48',)",1.0,"('13218_137',)"
"('10373_115',)","('192.168.220.50',)",1.0,"('10373_115',)"
"('11649_125',)","('192.168.220.43',)",1.0,"('11649_125',)"
"('11340_235',)","('192.168.220.47',)",1.0,"('11340_235',)"
"('13292_130',)","('192.168.220.47',)",1.0,"('13292_130',)"
"('13331_180',)","('192.168.220.47',)",1.0,"('13331_180',)"
"('10745_162',)","('192.168.210.52',)",1.0,"('10745_162',)"
"('10236_50',)","('192.168.210.52',)",1.0,"('10236_50',)"
"('13207_120',)","('192.168.220.47',)",1.0,"('13207_120',)"
"('13473_175',)","('192.168.220.50',)",1.0,"('13473_175',)"
"('13542_36',)","('192.168.210.52',)",1.0,"('13542_36',)"
"('13549_87',)","('192.168.210.52',)",1.0,"('13549_87',)"
"('13570_1',)","('192.168.210.55',)",1.0,"('13570_1',)"
"('10880_83',)","('192.168.220.47',)",1.0,"('10880_83',)"
"('11189_252',)","('192.168.210.47',)",1.0,"('11189_252',)"
"('11619_21',)","('192.168.220.45',)",1.0,"('11619_21',)"
"('10302_144',)","('192.168.220.47',)",1.0,"('10302_144',)"
"('11061_88',)","('192.168.220.43',)",1.0,"('11061_88',)"
"('13659_82',)","('192.168.220.47',)",1.0,"('13659_82',)"
"('13669_245',)","('192.168.220.47',)",1.0,"('13669_245',)"
"('13672_244',)","('192.168.220.51',)",1.0,"('13672_244',)"
"('13674_34',)","('192.168.220.51',)",1.0,"('13674_34',)"
"('10938_20',)","('192.168.210.48',)",1.0,"('10938_20',)"
"('13711_189',)","('192.168.220.42',)",1.0,"('13711_189',)"
"('13726_26',)","('192.168.210.54',)",1.0,"('13726_26',)"
"('13838_118',)","('192.168.210.47',)",1.0,"('13838_118',)"
"('12976_122',)","('192.168.210.55',)",1.0,"('12976_122',)"
"('10244_159',)","('192.168.220.45',)",1.0,"('10244_159',)"
"('10327_130',)","('192.168.220.48',)",1.0,"('10327_130',)"
"('11839_75',)","('192.168.210.54',)",1.0,"('11839_75',)"
"('13899_130',)","('192.168.210.52',)",1.0,"('13899_130',)"
"('13914_80',)","('192.168.220.42',)",1.0,"('13914_80',)"
"('13948_132',)","('192.168.210.50',)",1.0,"('13948_132',)"
"('12975_197',)","('192.168.210.57',)",1.0,"('12975_197',)"
"('10717_11',)","('192.168.220.43',)",1.0,"('10717_11',)"
"('14010_64',)","('192.168.220.51',)",1.0,"('14010_64',)"
"('14016_48',)","('192.168.220.51',)",1.0,"('14016_48',)"
"('14028_193',)","('192.168.210.47',)",1.0,"('14028_193',)"
"('14050_211',)","('192.168.220.50',)",1.0,"('14050_211',)"
"('14058_187',)","('192.168.220.50',)",1.0,"('14058_187',)"
"('14071_39',)","('192.168.210.52',)",1.0,"('14071_39',)"
"('11344_15',)","('192.168.210.47',)",1.0,"('11344_15',)"
"('14095_79',)","('192.168.220.51',)",1.0,"('14095_79',)"
"('14114_54',)","('192.168.210.54',)",1.0,"('14114_54',)"
"('10696_139',)","('192.168.220.50',)",1.0,"('10696_139',)"
"('12217_235',)","('192.168.220.51',)",1.0,"('12217_235',)"
"('10813_139',)","('192.168.210.57',)",1.0,"('10813_139',)"
"('14151_100',)","('192.168.220.51',)",1.0,"('14151_100',)"
"('14168_0',)","('192.168.220.48',)",1.0,"('14168_0',)"
"('14175_86',)","('192.168.220.51',)",1.0,"('14175_86',)"
"('14199_223',)","('192.168.220.51',)",1.0,"('14199_223',)"
"('14200_1',)","('192.168.220.51',)",1.0,"('14200_1',)"
"('12283_154',)","('192.168.220.51',)",1.0,"('12283_154',)"
"('14202_146',)","('192.168.220.51',)",1.0,"('14202_146',)"
"('14241_236',)","('192.168.220.51',)",1.0,"('14241_236',)"
"('14273_38',)","('192.168.220.43',)",1.0,"('14273_38',)"
"('14280_236',)","('192.168.220.51',)",1.0,"('14280_236',)"
"('14289_81',)","('192.168.220.51',)",1.0,"('14289_81',)"
"('14318_90',)","('192.168.220.51',)",1.0,"('14318_90',)"
"('14322_171',)","('192.168.220.51',)",1.0,"('14322_171',)"
"('14323_185',)","('192.168.220.51',)",1.0,"('14323_185',)"
"('12941_148',)","('192.168.220.44',)",1.0,"('12941_148',)"
"('14339_160',)","('192.168.220.51',)",1.0,"('14339_160',)"
"('10696_32',)","('192.168.210.49',)",1.0,"('10696_32',)"
"('14367_31',)","('192.168.220.51',)",1.0,"('14367_31',)"
"('10371_46',)","('192.168.220.45',)",1.0,"('10371_46',)"
"('10696_235',)","('192.168.220.45',)",1.0,"('10696_235',)"
"('13243_18',)","('192.168.220.45',)",1.0,"('13243_18',)"
"('10946_91',)","('192.168.220.45',)",1.0,"('10946_91',)"
"('14413_33',)","('192.168.220.51',)",1.0,"('14413_33',)"
"('10058_209',)","('192.168.220.46',)",1.0,"('10058_209',)"
"('10088_92',)","('192.168.220.46',)",1.0,"('10088_92',)"
"('14430_66',)","('192.168.220.46',)",1.0,"('14430_66',)"
"('11166_205',)","('192.168.210.57',)",1.0,"('11166_205',)"
"('12105_24',)","('192.168.220.47',)",1.0,"('12105_24',)"
"('12725_80',)","('192.168.210.49',)",1.0,"('12725_80',)"
"('14515_9',)","('192.168.220.46',)",1.0,"('14515_9',)"
"('14516_94',)","('192.168.220.46',)",1.0,"('14516_94',)"
"('12491_74',)","('192.168.220.46',)",1.0,"('12491_74',)"
"('10099_90',)","('192.168.220.46',)",1.0,"('10099_90',)"
"('11192_251',)","('192.168.210.54',)",1.0,"('11192_251',)"
"('14561_100',)","('192.168.220.51',)",1.0,"('14561_100',)"
"('12597_41',)","('192.168.220.42',)",1.0,"('12597_41',)"
"('12830_139',)","('192.168.210.56',)",1.0,"('12830_139',)"
"('14609_164',)","('192.168.210.48',)",1.0,"('14609_164',)"
"('14618_189',)","('192.168.210.48',)",1.0,"('14618_189',)"
"('10745_227',)","('192.168.220.51',)",1.0,"('10745_227',)"
"('12838_67',)","('192.168.210.47',)",1.0,"('12838_67',)"
"('192.168.200.0',)","('192.168.220.51',)",1.0,"('192.168.200.0',)"
"('12779_85',)","('192.168.220.46',)",1.0,"('12779_85',)"
"('13076_156',)","('192.168.220.51',)",1.0,"('13076_156',)"
"('13680_94',)","('192.168.220.51',)",1.0,"('13680_94',)"
"('13782_21',)","('192.168.220.42',)",1.0,"('13782_21',)"
"('13840_101',)","('192.168.210.47',)",1.0,"('13840_101',)"
"('13868_187',)","('192.168.220.47',)",1.0,"('13868_187',)"
"('10045_92',)","('192.168.220.47',)",1.0,"('10045_92',)"
"('10392_104',)","('192.168.220.42',)",1.0,"('10392_104',)"
"('14253_60',)","('192.168.220.51',)",1.0,"('14253_60',)"
"('14451_55',)","('192.168.220.51',)",1.0,"('14451_55',)"
"('14541_108',)","('192.168.220.47',)",1.0,"('14541_108',)"
"('14146_135',)","('192.168.210.56',)",1.0,"('14146_135',)"
"('10099_171',)","('192.168.210.57',)",0.8666666666666667,"('10099_171',)"
"('10002_19',)","('192.168.220.47',)",1.0,"('10002_19',)"
"('10682_136',)","('192.168.220.47',)",1.0,"('10682_136',)"
"('10854_76',)","('192.168.220.47',)",0.875,"('10854_76',)"
"('11086_221',)","('192.168.220.47',)",1.0,"('11086_221',)"
"('11192_35',)","('192.168.210.56',)",1.0,"('11192_35',)"
"('10195_137',)","('192.168.210.48',)",1.0,"('10195_137',)"
"('10343_170',)","('192.168.220.46',)",0.75,"('10343_170',)"
"('11667_10',)","('192.168.220.42',)",1.0,"('11667_10',)"
"('10696_176',)","('192.168.210.46',)",1.0,"('10696_176',)"
"('11802_53',)","('192.168.220.47',)",0.75,"('11802_53',)"
